Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
AODocs BSA / Systems Integrator,Tekfortune Inc.,"Role : BSA / Systems Integrator Onsite  Location : Austin, TX BSA / Systems Integrator/TechnicalBusiness Analyst - To configure and create new libraries based on the requirements gathered by the TPgM. Will also review any library related issues / questions and will coordinate with the library users and the TPgM to come to a resolution.  Application access required:Pantheon / Google Cloud PlatformBig QueryAODocs production and test environmentsGanapati2 & Google GroupsSkill Set RequiredGeneral un","Austin, TX, USA",Contract,Business Analyst,1 day ,2024-05-03 03:06:08.816056,,,https://www.dice.com/company/90941404?companyname=Tekfortune%20Inc.,12
BSA / Systems Integrator,StratG Inc,"Stratg Inc is looking for BSA / Systems Integrator  Role : BSA / Systems Integrator  Onsite Location : Austin, TX BSA / Systems Integrator/TechnicalBusiness Analyst - To configure and create new libraries based on the requirements gathered by the TPgM. Will also review any library related issues / questions and will coordinate with the library users and the TPgM to come to a resolution.  Application access required:Pantheon / Google Cloud PlatformBig QueryAODocs production and test environmentsG","Austin, TX, USA","Contract, Third Party",Business Analyst,1 day ,2024-05-03 03:06:08.816056,,,https://www.dice.com/company/91138575?companyname=StratG%20Inc,12
Tableau Business Analyst,"Manage My Dream, LLC","Position: Tableau Business Analyst 3 Location: Austin, Texas 78744 Hybrid Duration: 12 Months Local to Texas  I. DESCRIPTION OF SERVICES  Texas Health and Human Services Commission requires the services of 1 Business Analyst 3, hereafter referred to as Candidate(s), who meets the general qualifications of Business Analyst 3, Applications/Software Development and the specifications outlined in this document for the Texas Health and Human Services Commission.  All work products resulting from the","Austin, TX, USA","Contract, Third Party",Business Analyst,3 days ,2024-05-01 03:06:08.817050,,,https://www.dice.com/company/90979421?companyname=Manage%20My%20Dream%2C%20LLC,12
129813: - Lead Business Analyst,"Key Business Solutions, Inc.","129813: - Lead Business Analyst Remote 12 Months Need 3 Reference at the submission Job Description: This position will require a qualified Technical Business Analyst to take the lead in the following tasks: Ability to create and document detailed business requirements, perform analysis, outlining problems, opportunities and solutions for the stakeholders Author and update internal and external documentation, and formally initiate and deliver requirements and documentation A strong understanding","Austin, TX, USA","Full-time, Third Party",Business Analyst,4 days ,2024-04-30 03:06:08.817050,,,https://www.dice.com/company/RTL149247?companyname=Key%20Business%20Solutions%2C%20Inc.,12
Data Analyst With Tableau Dashboards,"Navtech, LLC","Role Data Analyst With Tableau Dashboards Location Austin TX Duration 12 Months work hybrid. Mon, Tues, Fri (Remote) and Wed, Thurs (On-Site). Please do not submit candidates who are currently out of state and are planning to move to Texas. Candidates must already reside in Texas. Must be able to work hybrid environment in-office and remote. Must be able to work in Agile environment. Level Description Strong experience developing Tableau dashboards and reports 10 or more years of experience, rel","Austin, TX, USA","Contract, Third Party",Business Analyst,10 days ,2024-04-24 03:06:08.818050,2 days ago ,,https://www.dice.com/company/10121110?companyname=Navtech%2C%20LLC,12
Business Analyst Lead with Utilities/Estimation exp,Verism Systems,"MUST HAVE SKILLS: Utilities/Electric/Gas experienceWorking knowledge of estimating Working knowledge of estimating tools (i.e. EES)  Working knowledge of joint pole activities & technology Engineering and Estimating work  Looking for an experienced analyst to support the Service Planning & Design functional area. The candidate will work closely with the business on behalf of IT on multiple, complex technology projects supporting SP&D employees and contractor workforce, especially in the area of","Austin, TX, USA","Third Party, Contract",Business Analyst,14 days ,2024-04-20 03:06:08.819050,4 days ago ,,https://www.dice.com/company/10123692?companyname=Verism%20Systems,12
Peoplesoft Business Analyst,"Manage My Dream, LLC","Position: Peoplesoft Business Analyst Location: Austin, Texas 78744 REMOTE NEED Local candidates to Texas II. CANDIDATE SKILLS AND QUALIFICATIONS Experience as a Business Analyst on PeopleSoft Financials and Supply Chain Management (FSCM) on implementation or upgrade projects Experience as a Business Analyst with PeopleSoft FSCM 9.2 General Ledger and Commitment Accounting. Experience as a Business Analyst in identifying requirements and creating formal functional documents for key business stak","Austin, TX, USA","Contract, Third Party",Business Analyst,8 days ,2024-04-26 03:06:08.819050,,,https://www.dice.com/company/90979421?companyname=Manage%20My%20Dream%2C%20LLC,12
Certified Business Analysis Professional (CBAP) from the International Institute,StackNexus Inc.,Business Analyst A Bachelor s degree. Eight (8) years of IT business analyst experience (meeting the below mandatory requirements) may be substituted for the required education.Certified Business Analysis Professional (CBAP ) from the International Institute of Business Analysis (IIBA) or Project Management Institute Professional in Business Analysis (PMI-PBA)At least eight (8) years of work experience applying analytical processes in Information Technology (IT) Business AnalysisAt least five (5,"Austin, TX, USA","Contract, Third Party",Business Analyst,2 days ,2024-05-02 03:06:08.820050,,,https://www.dice.com/company/91081606?companyname=StackNexus%20Inc.,12
Sr. Project Manager,"Serenity Info Tech, Inc.","Title: Sr. Project Manager/Scrum Master Location: Remote Job Description: Project Manager It s a blended role with waterfall/mpp experience and managing the scrum team if possible. Scrum Master experience. Someone who can create Jira Epics and stories, help with documentation, and support the team as a scrum master. Someone with hands-on BSA experience moved to an SM role will be a good fit. Managing scope, resources, timelines, costs/budget, quality, communication, and procurements to meet the","Austin, TX, USA","Contract, Third Party",Business Analyst,11 days ,2024-04-23 03:06:08.820050,20 hours ago ,,https://www.dice.com/company/10118379?companyname=Serenity%20Info%20Tech%2C%20Inc.,12
Power Apps Developer for Remote 100%,Voto Consulting LLC,"Power Apps Developer for Remote 100% Power Apps Developer (2) / Low Code/No Code Responsible for developing Power Apps model-driven and canvas-driven apps (Model-driven sits on MS Dataverse Database, Canvas may or may not) Ability to translate business requirements into technical solutions. Responsible for estimating work and meeting planned timelines. Design end-to-end solutions Identify areas and processes where Microsoft 365, Office 365, and SharePoint can be better leveraged and facilitate p","Austin, TX, USA","Contract, Third Party",Business Analyst,4 days ,2024-04-30 03:06:08.821050,,,https://www.dice.com/company/91014022?companyname=Voto%20Consulting%20LLC,12
