Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
BI Engineer :: Remote :: W2 Profiles Only,Aorton Inc,"Role : BI Analytics Engineer  Location: Remote Job Description: Six Month Expectations Contribute to the data pipeline process, creating new pipelines that further data availability on our BI platform Take ownership of portions of our data stack Proactively solve issues or errors within the data pipeline Take an active role in designing the future of our data pipeline or BI platforms Collaborate with the team on best practices and overall business strategy Take ownership of data office hours and","Austin, TX, USA",Contract,Business Analytics,1 day ,2024-05-03 03:03:14.702012,,,https://www.dice.com/company/91140841?companyname=Aorton%20Inc,122
Remote Predictive Analytics Snowflake Integration consultant Part Time or Full time,CapB InfoteK LLC,"CapB is seeking a Predictive Analytics Snowflake Integration consultants for its ongoing project. the project is 100% remote and can be done on Full time or Part time basis. The consultant on this project will connect existing code to a new cloud-based warehouse.  Currently, existing analytic code is connected to legacy, on-prem warehouses.  Responsibilities will include but not be limited to:  Write associated SQL queries to support two-way communication for 2 statistical models written in R to","Austin, TX, USA","Contract, Third Party",Business Analytics,39 days ,2024-03-26 03:03:14.702012,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,122
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","Austin, TX, USA",Contract,Business Analytics,31 days ,2024-04-03 03:03:14.702012,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,122
"ServiceNow Architect field service module mandatory , Remote",Spiceorb,"Hi, This is Upasna from Spiceorb.we have opening for Servicenow Architect role.If you are available and interested send your updated resume to  ServiceNow Architect, remote role The ServiceNow Architect plays a critical role in the design, implementation, and optimization of ServiceNow solutions within the organization.This position requires a deep understanding of the ServiceNow platform, IT service management processes, and business requirements to architect solutions that drive efficiency, au","Austin, TX, USA","Contract, Third Party",Business Analytics,9 days ,2024-04-25 03:03:14.702012,7 days ago ,,https://www.dice.com/company/91109480?companyname=Spiceorb,122
Business Rules Engine Developer (Actico BRE) - REMOTE,MeganSoft,Position: Business Rules Engine Developer (Actico BRE) Location: Remote Duration: 12+ months  MOI: Phone & WebEx  Implementation: Cognizant Note: 1. U.S. Citizens and those authorized to work in the U.S. are encouraged to apply. We are able to sponsor H1-B at this time.  - H1B Consultant who are willing to WORK ON OUR W2 (H1B TRANSFER) are welcome. NO OPT/CPT Qualifications Min 6+ of relevant work experience using the Business Rules Engine on large-scale software development projects Knowledge o,"Austin, TX, USA","Contract, Third Party",Business Analytics,13 hours ,2024-05-03 14:03:14.702012,,,https://www.dice.com/company/10510406?companyname=MeganSoft,122
AI Consulting Lead - SVP,"ReQignition, Inc.","Company DescriptionBlend is a premier AI services provider, committed to co-creating meaningful impact for its clients through the power of data science, AI, technology, and people. With a mission to fuel bold visions, Blend tackles significant challenges by seamlessly aligning human expertise with artificial intelligence. The company is dedicated to unlocking value and fostering innovation for its clients by harnessing world-class people and data-driven strategy. We believe that the power of pe","Austin, TX, USA",Full-time,Business Analytics,24 days ,2024-04-10 03:03:14.702012,,,https://www.dice.com/company/90941004?companyname=ReQignition%2C%20Inc.,122
Enterprise Solution Architect,"Sincera Technologies, Inc.","1. Develop architecture roadmaps, standards and guidelines, providing expertise in multiple domains 2. Working closely with various groups (sales, product management, operations, etc.) and other engineering organizations across our end client. 3. Understand and identify the business need (i.e., what is being requested) and then drive the technical solution definition (i.e., how to solve the business need). 4. Define functional, performance, and reliability requirements to ensure the solution can","Austin, TX, USA",Contract,Business Analytics,18 days ,2024-04-16 03:03:14.702012,16 days ago ,,https://www.dice.com/company/91135616?companyname=Sincera%20Technologies%2C%20Inc.,122
SAP MM,Mahaugha LLC,"8-12 years of functional experience in Sap S4 HANA MM & IM Modules with a minimum of 2-3 full end-to-end implementation and support projects.Experience working in sourcing, procurement & Inventory management areas.Strong knowledge and experience in master data, transactional datas and other integration areas.Experience working in EDI/ IDOC/ ALE & API s and other integration mechanisms.Experience in custom solution design for RICEFW objects that extends the best practice to fit the business requi","Austin, TX, USA",Contract,Business Analytics,10 days ,2024-04-24 03:03:14.702012,10 days ago ,,https://www.dice.com/company/91114983?companyname=Mahaugha%20LLC,122
Salesforce Architect with Health Cloud,P2PSoftTek Inc,"Hi Role : Salesforce Architect with Health Cloud  Remote Role Description The requirements listed below are representative of the experience, education, knowledge, skill and/or abilities required. Bachelor's degree in Computer Science, Information Technology, or a related field (preferred).10+ years experience as Salesforce Developer/ Architect with a minimum of 3 years experience as a Salesforce Architect, with a strong focus on the healthcare industry.Proven experience in designing, developing","Austin, TX, USA","Contract, Third Party",Business Analytics,1 day ,2024-05-03 03:03:14.717637,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,122
Sales Leader - Insurance,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","Austin, TX, USA","Full-time, Third Party",Business Analytics,60+ days ,2024-03-05 03:03:14.717637,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,122
Solutions Lead- Reverse Logistics - Remote,Vings Technologies,"RESPONSIBILITIES  Deep functional and operational understanding and expertise of consumer electronics Reverse logistics domain  Interface wit, logistics and supply chain management teams to define comprehensive process and system strategies that provide flexibility and are scalable as well as sustainable.  Contribute to supply chain network strategies by providing comprehensive capability development analyzes and solution development roadmaps to implement goals defined by the strategies.  Define","Austin, TX, USA","Third Party, Contract",Business Analytics,14 hours ,2024-05-03 13:03:14.717637,,,https://www.dice.com/company/90942645?companyname=Vings%20Technologies,122
SAP MM Functional consultant,Vrddhi Solutions LLC,"Position-SAP MM Functional consultant Location-onsite 2-3 days a week (Northfield) Visa: No OPT CPT Experience: 8+Years Duration-18m-2 years Job Description:  AP MM Functional Consultant Roles & ResponsibilitiesFacilitate the implementation and support of SAP MMPerform detailed analysis of complex business process requirements and provide appropriate system solutions; identify, interpret, validate and document customer requirementsFacilitate workshops to collect business requirementsMap client b","Austin, TX, USA","Contract, Third Party",Business Analytics,60+ days ,2024-03-05 03:03:14.717637,4 days ago ,,https://www.dice.com/company/91138338?companyname=Vrddhi%20Solutions%20LLC,122
"Software Engineer (Java Backend) API Team in Austin, TX",RHP Soft Inc.,"Hello,  Greetings from RHP Soft Inc.  Hope this email finds you in good health.  One of our clients is looking for a Software Engineer (Java Backend) API Team in Austin, TX. If interested, please send a copy of your resume at Software Engineer (Java Backend) API Team  Contract or Fulltime Austin, TX  About The Team  The API team runs, maintains, and develops the single public API for Braintree. Our mission is to develop a best-in-class API for easy, quick, and robust integration on a global scal","Austin, TX, USA",Contract,Business Analytics,8 days ,2024-04-26 03:03:14.717637,8 days ago ,,https://www.dice.com/company/10462800?companyname=RHP%20Soft%20Inc.,122
ETL ODI Developer,P2PSoftTek Inc,"ETL ODI Developer Remote Role  Description  ODI Experience Proficient in PL SQL, Oracle SQL Plusses SSIS experience - OBI: Operations business intelligence - Data analytics/data science - Business IT unit - Why? We sit in business and provide analytics solution to the business - Most of work supports electric ops and working with field crews, office, working with EMS data, ATMS, GIS, SAP, all sorts of data sets 70 different data sets analytics on data - Oracle based technology stack - Solutions","Austin, TX, USA","Contract, Third Party",Business Analytics,60+ days ,2024-03-05 03:03:14.717637,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,122
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","Austin, TX, USA",Contract,Business Analytics,16 hours ,2024-05-03 11:03:14.717637,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,122
