Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Austin, TX, USA",Full-time,Data Engineer Internship,15 days ,2024-04-19 03:15:02.907877,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,41
Azure Data Engineer with Talend,StratG Inc,"Stratg Inc is looking for Azure Data engineer for our Direct Client in New York/New Jersey, Please share suitable profiles. Title: Azure Data engineer with Talend Location: NY/NJ Duration:  Longterm JD: -Strong Experience in Azure Data Engineer. -Strong ETL experience  -Talend Experience -Good Knowledge in Basic Java Interested People please share resume on my email  or you can reach me at","Austin, TX, USA","Third Party, Contract",Data Engineer Internship,17 days ,2024-04-17 03:15:02.907877,,,https://www.dice.com/company/91138575?companyname=StratG%20Inc,41
Lead Data Engineer with Palantir Foundry,Info Dinamica Inc,"Lead Data Engineer with Palantir Foundry - Remote NOTE - The consultant Needs to work In Europe Time Zone Total experience of 7+ years in Data Engineering and must have at least 3 years of experience in Palantir Foundry. Strong experience with Palantir Data Engineering features such as, Code Repo, Code Workbook, Pipeline Build, migration techniques, Data Connection and Security setup.Design, develop Data Pipelines, and have excellent skills in PySpark and Spark SQL, hands on with code Build and","Austin, TX, USA","Contract, Third Party",Data Engineer Internship,29 days ,2024-04-05 03:15:02.908878,17 days ago ,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,41
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","Austin, TX, USA",Contract,Data Engineer Internship,31 days ,2024-04-03 03:15:02.909894,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,41
Neo4j Data Engineer,Incedo Inc,"Position: Neo4j Data Engineer Location: Pittsburgh, PA (Remote) Duration: Full time Qualifications Minimum 3+ years of working experience with knowledge graphs/graph databasesExpertise with Graph database technology especially Neo4JExpertise with Python, and related software engineering platforms/frameworksExperience in designing and building highly scalable Knowledge Graphs in productionExperience developing APIs leveraging knowledge graph dataExperience with querying knowledge graphs using a g","Austin, TX, USA",Full-time,Data Engineer Internship,3 days ,2024-05-01 03:15:02.910898,,,https://www.dice.com/company/10476889?companyname=Incedo%20Inc,41
AWS Data Engineer -Remote,Cyma Systems Inc,"Title:  AWS EngineerLocation:  Remote Duration: 6+months . We re Looking for: Minimum 7 years of progressively responsible work experience in Data Engineering , architecture, design and development. Minimum 5 years of experience with ETL/ELT design and development using tools like IICS, AWS Glue, Talend, Databricks, Oracle Data Integrator (ODI) or equivalent.  Minimum 5 years of experience in database architecture using relational SQL (e.g. Snowflake, Oracle, PostgreSQL, MySQL), and NoSQL (Dynam","Austin, TX, USA",Contract,Data Engineer Internship,23 days ,2024-04-11 03:15:02.910898,13 hours ago ,,https://www.dice.com/company/RTL327349?companyname=Cyma%20Systems%20Inc,41
Google Cloud Platform Data Engineer,"Amzur Technologies, Inc.",Develop and operate data management tools  monitoring data flows  data quality  data cleansing and data processingCreate and document logical data integration strategies for data flows between disparate systems and the enterprise data warehouse data lakesCollaborate with different stakeholders  engineers  data stewards  to collect required data from internal and external systemsWork in an Agile environment that focuses on collaboration and teamworkImprove and extend existing data infrastructure,"Austin, TX, USA",Contract,Data Engineer Internship,50 days ,2024-03-15 03:15:02.911898,15 hours ago ,,https://www.dice.com/company/10115656?companyname=Amzur%20Technologies%2C%20Inc.,41
Data Engineer,"Amzur Technologies, Inc.","Description: To research, evaluate, design, implement, and maintain system and product solutions, applying knowledge of engineering principles. To provide technical direction and engineering support for projects and infrastructure. Develop and maintain expert functional knowledge of evolving IT engineering industry technologies/competition, concepts and trends. Data deliverables  Data integration framework (Data Lake, Data Warehouse),Data quality control & monitoringPerformance optimizationData","Austin, TX, USA",Contract,Data Engineer Internship,60+ days ,2024-03-05 03:15:02.912898,15 hours ago ,,https://www.dice.com/company/10115656?companyname=Amzur%20Technologies%2C%20Inc.,41
AWS Data Engineer with Databricks_REMOTE,Astir IT Solutions,"Tech skills  Databricks, Python. Strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata management, dependency, and workload management. Hands-on experience in Python is a must. Experience working with structured and unstructured data. Extensive knowledge of ETL and Data Warehousing concepts, strategies, methodologies Experience in data ingestion, preparation, integration, and operationalization techniques i","Austin, TX, USA",Contract,Data Engineer Internship,60+ days ,2024-03-05 03:15:02.912898,12 hours ago ,,https://www.dice.com/company/10110032?companyname=Astir%20IT%20Solutions,41
"Software Engineer (Java Backend) API Team in Austin, TX",RHP Soft Inc.,"Hello,  Greetings from RHP Soft Inc.  Hope this email finds you in good health.  One of our clients is looking for a Software Engineer (Java Backend) API Team in Austin, TX. If interested, please send a copy of your resume at Software Engineer (Java Backend) API Team  Contract or Fulltime Austin, TX  About The Team  The API team runs, maintains, and develops the single public API for Braintree. Our mission is to develop a best-in-class API for easy, quick, and robust integration on a global scal","Austin, TX, USA",Contract,Data Engineer Internship,8 days ,2024-04-26 03:15:02.913898,8 days ago ,,https://www.dice.com/company/10462800?companyname=RHP%20Soft%20Inc.,41
