Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Servicenow CMDB,Royal Cyber Inc,"Expertise : CMDB, data model, Data Policy implementation, integration, data transfer, asset management, transformation map, Asset management and CMDB tables, field hierarchy in CI tables, task table attributes, glide records, IRE Engine, scripting, coding Nice to have: SCCM, Fore scout","Austin, TX, USA",Full-time,Data Scientist,3 days ,2024-05-01 03:09:01.986498,19 hours ago ,,https://www.dice.com/company/RTL192441?companyname=Royal%20Cyber%20Inc,111
Google Cloud Platform Data Architect,DVG Tech Solutions LLC,"Job Description: The Role We seek an experienced Google Cloud Platform Data Architect to shape and lead our data architecture and analytics initiatives on the Google Cloud Platform. You'll work closely with cross-functional teams to design scalable data solutions, optimize data pipelines, and enable data-driven decision-making across the organization. Key Responsibilities:  Architecture Design: Craft scalable and reliable data architectures on Google Cloud Platform, encompassing data ingestion,","Austin, TX, USA","Third Party, Contract",Data Scientist,10 days ,2024-04-24 03:09:01.986498,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,111
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","Austin, TX, USA",Contract,Data Scientist,17 hours ,2024-05-03 10:09:01.987489,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,111
Lead Data Engineer with Palantir Foundry,Info Dinamica Inc,"Lead Data Engineer with Palantir Foundry - Remote NOTE - The consultant Needs to work In Europe Time Zone Total experience of 7+ years in Data Engineering and must have at least 3 years of experience in Palantir Foundry. Strong experience with Palantir Data Engineering features such as, Code Repo, Code Workbook, Pipeline Build, migration techniques, Data Connection and Security setup.Design, develop Data Pipelines, and have excellent skills in PySpark and Spark SQL, hands on with code Build and","Austin, TX, USA","Contract, Third Party",Data Scientist,29 days ,2024-04-05 03:09:01.988498,17 days ago ,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,111
Residential Solutions Architect,Computomic,"Role: Resident Solution Architect (RSA) Experience: 10+ years years consulting, 7+ years in data engineering Location: London /Remote. United Kingdom Background: Computomic was founded in 2019 with a vision to design and deploy mission critical and highly differentiated Data & AI solutions for companies looking to migrate their data stack from legacy data platforms such as Teradata, Cloudera, Datastage and Informatica to modern data platforms like Databricks. Over the last few years, we have bec","Austin, TX, USA",Contract,Data Scientist,38 days ,2024-03-27 03:09:01.989498,23 days ago ,,https://www.dice.com/company/91129876?companyname=Computomic,111
AWS Data Architect,WinWire Technologies,"Job title: AWS Data Architect Pharma exp Must Location: Alameda, CA Remote Duration: open for full time/ Contract to hire  Let s not just look at Pharma experience since there could be folks with Clinical domain experience which is not relevant. It needs to be Pharma Commercial on domain and AWS Data Engineering / Architecture (hands on). Someone who can set direction, define data patterns, establish customer domains and design with AWS tools.  * Rebates * Marketing * Market Access * Sales * Arc","Austin, TX, USA","Full-time, Third Party",Data Scientist,57 days ,2024-03-08 03:09:01.989498,2 days ago ,,https://www.dice.com/company/RTL854830?companyname=WinWire%20Technologies,111
Azure Data Architect,Intraedge,"Job Title: : Azure Data Architect Location: REMOTE Duration: Long Term Contract  Responsibilities: Engineer Azure-based solutions with a focus on cost-efficiency, performance, and operational effectiveness. Craft and enforce a framework to quantify data quality across various customer and prospect sources, ensuring data accuracy, completeness, consistency, and timeliness. Scrutinize first-party customer data sources to establish the most reliable ones and formulate ingestion strategies for both","Austin, TX, USA","Contract, Third Party",Data Scientist,3 days ,2024-05-01 03:09:01.990499,1 day ago ,,https://www.dice.com/company/10121492?companyname=Intraedge,111
ITSM CMDB / Data Analysis expertise- 100% Remote role - Canada/LATAM Based,Acnovate Business Solutions Inc.,"ITSM CMDB / Data Analysis expertise 100% Remote (Near Shore - Canada/Latin America) Long term Contract Job Description: Configuration Management Database (CMDB) Maintenance: The Asset and Configuration Manager is responsible for managing and maintaining the CMDB in ServiceNow. This involves ensuring accurate and up-to-date information about all configuration items (CIs) within the IT infrastructure, including hardware, software, and other assets. Configuration Identification: Working with differ","Austin, TX, USA","Contract, Third Party",Data Scientist,37 days ,2024-03-28 03:09:01.991478,20 hours ago ,,https://www.dice.com/company/10127360?companyname=Acnovate%20Business%20Solutions%20Inc.,111
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Austin, TX, USA",Full-time,Data Scientist,15 days ,2024-04-19 03:09:01.992476,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,111
Collibra Data Quality Consultant (Collibra DQ),Xoriant Corporation,Looking for someone who is an expert on all functionalities provided by Collibra DQ.Preferred if they have worked with Collibra DQ in a healthcare setting.It would be even better if they have connected to Databricks as a data source from Collibra DQ.,"Austin, TX, USA","Contract, Third Party",Data Scientist,3 days ,2024-05-01 03:09:01.993468,,,https://www.dice.com/company/xorca001?companyname=Xoriant%20Corporation,111
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","Austin, TX, USA",Contract,Data Scientist,31 days ,2024-04-03 03:09:01.993468,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,111
ServiceNow Data + Integrations Architect,HL Solutions LLC,"Job Description:-  ServiceNow Data + Integrations Architect (Level 3) Primary Skill: Data + Integration Architect , CSA + at least 2 mainline certifications  ServiceNow Data Architect - 40% Govern demand for inbound/outbound data feed intake and delivery Collaboration point between platform, product, EA, and EDS teams to ensure data in ServiceNow is ""fit-for-purpose"" Ensure alignment of data model hierarchy to EA and EDS standards Govern quality and certification of data model Ensure implementat","Austin, TX, USA","Contract, Third Party",Data Scientist,17 days ,2024-04-17 03:09:01.994489,,,https://www.dice.com/company/91089103?companyname=HL%20Solutions%20LLC,111
Oracle HCM Platform Support (Techno-Functional) - Remote,Cyber Sphere LLC,"Job title: Oracle HCM Platform Support  (Techno-Functional) Remote - EST Long term Prior Experience of HCM Release Management for Oracle HCM components (EXTRACT, ALERT, BIP, Reports), Well versed with Oracle CSM & FSM tool for automated Release Management Prior experience of Managing Oracle POD, instance strategy, P2T, T2T, Data Masking Certificate Management for Real time Integrations. Experience generate, import, export, and delete PGP and X.509 certificates for data encryption and decryption","Austin, TX, USA","Third Party, Contract",Data Scientist,3 days ,2024-05-01 03:09:01.994489,,,https://www.dice.com/company/91081414?companyname=Cyber%20Sphere%20LLC,111
Technical Architect,ASCII Group LLC,"Position: Architect on Ingestion tools like HVR & Appflow Location: Remote Duration: Long Term Client: Pharma  Description: HVR Administration: Relevant Exp 5+ years HVR Tool Management:  Lead the configuration, administration, and management of the HVR tool, ensuring its optimal performance and adherence to industry best practices.Configure data source connections and manage HVR agents.Identify and raise system capacity related issues (storage, licenses, performance threshold).Participate in ov","Austin, TX, USA","Third Party, Contract",Data Scientist,3 days ,2024-05-01 03:09:01.995489,2 days ago ,,https://www.dice.com/company/10117479?companyname=ASCII%20Group%20LLC,111
Azure Data Engineer with Talend,StratG Inc,"Stratg Inc is looking for Azure Data engineer for our Direct Client in New York/New Jersey, Please share suitable profiles. Title: Azure Data engineer with Talend Location: NY/NJ Duration:  Longterm JD: -Strong Experience in Azure Data Engineer. -Strong ETL experience  -Talend Experience -Good Knowledge in Basic Java Interested People please share resume on my email  or you can reach me at","Austin, TX, USA","Third Party, Contract",Data Scientist,17 days ,2024-04-17 03:09:01.995489,,,https://www.dice.com/company/91138575?companyname=StratG%20Inc,111
Enterprise Data Speclialist,Genome International Corp,"looking for a contractor to provide Data Governance services in support of the Statewide Longitudinal Data Systems (SLDS) federal grant efforts. CDE received the grant award in 2020, and it will continue through February 2025. The early years of the grant focused on two use case areas, Adult Education (AE) and Concurrent Enrollment (CE). There is a significant technology component to this grant effort, CDE already has data-linking technology in place and part of the grant commitment is to modern","Austin, TX, USA",Contract,Data Scientist,44 days ,2024-03-21 03:09:01.996498,1 day ago ,,https://www.dice.com/company/genwi001?companyname=Genome%20International%20Corp,111
Power BI Developer,Symphony Corporation,"Responsibilities: Quickly assimilate and extract relevant supply chain data from our extensive data lake.Develop, design, and maintain advanced Power BI reports and dashboards specific to supply chain metrics.Utilize complex data sources in a Supply Chain context, including but not limited to inventory levels, logistics performance, and vendor management.Transform raw data into meaningful insights through engaging visuals and interactive reports.Work closely with Supply Chain stakeholders to ide","Austin, TX, USA",Contract,Data Scientist,14 days ,2024-04-20 03:09:01.997498,,,https://www.dice.com/company/10115170?companyname=Symphony%20Corporation,111
SOLUTIONS ARCHITECT,TribolaTech Inc.,"15+ YEARS EXPERIENCE Responsibilities: Data Ingestion:Lead the design and development of data ingestion processes, extracting data from various sources and formats.Data Lake Architecture:Architect, implement, and maintain the data lake architecture, including landing, raw, and curated layers, ensuring efficient storage, processing, and retrieval of data.Staging Area Management:Establish and manage the staging area within the data lake, facilitating the consolidation and preparation of data befor","Austin, TX, USA",Contract,Data Scientist,11 days ,2024-04-23 03:09:01.997498,,,https://www.dice.com/company/10410723?companyname=TribolaTech%20Inc.,111
