Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
129813: - Lead Business Analyst,"Key Business Solutions, Inc.","129813: - Lead Business Analyst Remote 12 Months Need 3 Reference at the submission Job Description: This position will require a qualified Technical Business Analyst to take the lead in the following tasks: Ability to create and document detailed business requirements, perform analysis, outlining problems, opportunities and solutions for the stakeholders Author and update internal and external documentation, and formally initiate and deliver requirements and documentation A strong understanding","Chicago, IL, USA","Full-time, Third Party",Business Analyst Internship,4 days ,2024-04-30 03:24:55.977526,,,https://www.dice.com/company/RTL149247?companyname=Key%20Business%20Solutions%2C%20Inc.,25
Business Analyst Lead with Utilities/Estimation exp,Verism Systems,"MUST HAVE SKILLS: Utilities/Electric/Gas experienceWorking knowledge of estimating Working knowledge of estimating tools (i.e. EES)  Working knowledge of joint pole activities & technology Engineering and Estimating work  Looking for an experienced analyst to support the Service Planning & Design functional area. The candidate will work closely with the business on behalf of IT on multiple, complex technology projects supporting SP&D employees and contractor workforce, especially in the area of","Chicago, IL, USA","Third Party, Contract",Business Analyst Internship,14 days ,2024-04-20 03:24:55.977526,4 days ago ,,https://www.dice.com/company/10123692?companyname=Verism%20Systems,25
SAP MM Lead Functional Analysts,"Computer Recruiters, Inc.","Chicago, IL Lead SAP MM IM EWM Functional Analysts  Based in the Chicago area is looking for a local preferred Senior Level Business Analyst to come join their growing and dynamic Team. Will consider relocation for the right person. Onsite HYBRID Full-Time Employee NO CONTRACTORS that want a contract position. No C2C, No CTH, No telecommuting, NO will rent an apt there, and go home on weekends  This is a Direct Hire position.My client which is at the top in their industry and growing.  Based in","Chicago, IL, USA",Full-time,Business Analyst Internship,22 days ,2024-04-12 03:24:55.978535,6 days ago ,,https://www.dice.com/company/10184270?companyname=Computer%20Recruiters%2C%20Inc.,25
Peoplesoft Business Analyst,"Manage My Dream, LLC","Position: Peoplesoft Business Analyst Location: Austin, Texas 78744 REMOTE NEED Local candidates to Texas II. CANDIDATE SKILLS AND QUALIFICATIONS Experience as a Business Analyst on PeopleSoft Financials and Supply Chain Management (FSCM) on implementation or upgrade projects Experience as a Business Analyst with PeopleSoft FSCM 9.2 General Ledger and Commitment Accounting. Experience as a Business Analyst in identifying requirements and creating formal functional documents for key business stak","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,8 days ,2024-04-26 03:24:55.979536,,,https://www.dice.com/company/90979421?companyname=Manage%20My%20Dream%2C%20LLC,25
Certified Business Analysis Professional (CBAP) from the International Institute,StackNexus Inc.,Business Analyst A Bachelor s degree. Eight (8) years of IT business analyst experience (meeting the below mandatory requirements) may be substituted for the required education.Certified Business Analysis Professional (CBAP ) from the International Institute of Business Analysis (IIBA) or Project Management Institute Professional in Business Analysis (PMI-PBA)At least eight (8) years of work experience applying analytical processes in Information Technology (IT) Business AnalysisAt least five (5,"Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,2 days ,2024-05-02 03:24:55.979536,,,https://www.dice.com/company/91081606?companyname=StackNexus%20Inc.,25
Power Apps Developer for Remote 100%,Voto Consulting LLC,"Power Apps Developer for Remote 100% Power Apps Developer (2) / Low Code/No Code Responsible for developing Power Apps model-driven and canvas-driven apps (Model-driven sits on MS Dataverse Database, Canvas may or may not) Ability to translate business requirements into technical solutions. Responsible for estimating work and meeting planned timelines. Design end-to-end solutions Identify areas and processes where Microsoft 365, Office 365, and SharePoint can be better leveraged and facilitate p","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,4 days ,2024-04-30 03:24:55.980536,,,https://www.dice.com/company/91014022?companyname=Voto%20Consulting%20LLC,25
Sr. Project Manager,"Serenity Info Tech, Inc.","Title: Sr. Project Manager/Scrum Master Location: Remote Job Description: Project Manager It s a blended role with waterfall/mpp experience and managing the scrum team if possible. Scrum Master experience. Someone who can create Jira Epics and stories, help with documentation, and support the team as a scrum master. Someone with hands-on BSA experience moved to an SM role will be a good fit. Managing scope, resources, timelines, costs/budget, quality, communication, and procurements to meet the","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,11 days ,2024-04-23 03:24:55.980536,21 hours ago ,,https://www.dice.com/company/10118379?companyname=Serenity%20Info%20Tech%2C%20Inc.,25
Base 24 Consultant,"Innova Solutions, Inc","Innova Solutions is immediately hiring a Base24 Consultant. Position type: Full time Contract. Duration: 6+ Months Location: 100% Remote As a Base24 Consultant you will require: Minimum experience with the following: Minimum 5 years of recent experience working in a HP Non-stop / Tandem environment.Minimum 5 years of recent experience development with TACL, C++Minimum 5 years of experience gathering requirements/documentation.Experience with ACI s BASE24-classic and/or BASE24-eps, required.Abili","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,11 days ,2024-04-23 03:24:55.981536,10 days ago ,,https://www.dice.com/company/10115307?companyname=Innova%20Solutions%2C%20Inc,25
Oracle SOA/ODI; webMethods,Anveta Inc,"Title: Oracle SOA/ODI; webMethods Work location: Rosemont, IL- 3 days a week- Onsite from day 1  Job description  Strong Development and Support knowledge in Oracle ODI and FMW SOA with at least 8 years Design and develop ETL solutions using ODI to integrate data from various sources into data warehouse. Create mappings, workflows, and load plans to move data from source systems to target systems.Develop and maintain ODI interfaces, packages, procedures, and functions. Analyze and identify the r","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,60+ days ,2024-03-05 03:24:55.982527,8 days ago ,,https://www.dice.com/company/10312854?companyname=Anveta%20Inc,25
SharePoint Developer/Technical Lead,EKIN Solutions Inc,"Title : SharePoint Developer/Technical Lead Location :  REMOTE Duration : Long Term As a Senior SharePoint Engineer, you will enforce and evolve design and development standards; manage the assignment of design and development tasks; oversee all technical aspects of project design and implement the overall systems architecture; and develop key application components.  You will also work on technical issues and serve as top-tier technical support to the technical team and the users. What You Will","Chicago, IL, USA","Third Party, Contract",Business Analyst Internship,1 day ,2024-05-03 03:24:55.982527,1 day ago ,,https://www.dice.com/company/90958038?companyname=EKIN%20Solutions%20Inc,25
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Chicago, IL, USA",Full-time,Business Analyst Internship,15 days ,2024-04-19 03:24:55.983535,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,25
Jr. UI Developer (entry level/Intern) 1 to 3 years of experience.,New Jersey Tech Systems LLC,"New Jersey Tech Systems is a leader in the industry by offering high-technology solutions that save on overall time and cost. We do this by providing scalable support for clients entire project needs that are effective, affordable, and easy to understand. - Location: Princeton, NJ - Salary: $50,000 - $60,000. - Visa sponsorship is available for qualified employees. - *No experience is required but better to have. - 100% remote. - Contact details: | Knowledge and Skills: Exposed to and/or experie","Chicago, IL, USA",Full-time,Business Analyst Internship,4 days ,2024-04-30 03:24:55.983535,4 days ago ,,https://www.dice.com/company/90979221b?companyname=New%20Jersey%20Tech%20Systems%20LLC,25
Full-Stack Developer (entry level/Intern) 1 to 3 years of experience.,New Jersey Tech Systems LLC,"New Jersey Tech Systems is a leader in the industry through offering high-technology solutions that save on overall time and cost. We do this by providing scalable support for clients' entire project needs that are effective, affordable, and easy to understand. Location: Princeton, NJ. Salary: $50,000 - $60,000 Visa sponsorship is available for qualified employees. *No experience is required but better to have. - 100% remote. - Contact details: | Knowledge and Skills Knowledge of creating front-","Chicago, IL, USA",Full-time,Business Analyst Internship,4 days ,2024-04-30 03:24:55.984536,4 days ago ,,https://www.dice.com/company/90979221b?companyname=New%20Jersey%20Tech%20Systems%20LLC,25
Mid Level. Java Developer - Remote,CoppelTech,"Looking for a Mid level Java developer with atleast 6 years of experience on following skills :- Responsibilities: Design, develop, and maintain high-quality Java applications and services.Collaborate with product owners, business analysts, and other stakeholders to gather and refine requirements.Translate business requirements into technical specifications and architectural designs.Implement best practices for software development, including code reviews, testing, and documentation.Troubleshoot","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,4 days ,2024-04-30 03:24:55.985514,,,https://www.dice.com/company/91141956?companyname=CoppelTech,25
IBM Datacap Developer,P2PSoftTek Inc,"IBM Datacap Developer Remote Role Description : Collaborate with stakeholders to gather and analyze business requirements for document capture and data extraction processes.Design and architect IBM Datacap, AWS Textract solutions to meet business needs, including document classification, data extraction, and workflow automation.Develop and customize IBM Datacap, AWS Textract applications flows, modules, and components using Datacap Studio, Datacap Navigator, and other tools.Configure and optimiz","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,24 days ,2024-04-10 03:24:55.985514,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,25
Test Do Not Apply - Senior Full Stack Developer,Dice US Sales Demo Account,"Job Type: Full-time Location: Greenwood Village, Colorado We are seeking an experienced Senior Full Stack Developer to join our dynamic team. The successful candidate will be responsible for developing, maintaining, and enhancing web applications that meet the needs of our clients. As a Senior Full Stack Developer, you will work closely with our cross-functional teams to ensure that our products are delivered on time, within budget, and to the highest quality standards. Responsibilities: Develop","Chicago, IL, USA",Full-time,Business Analyst Internship,18 days ,2024-04-16 03:24:55.987017,4 days ago ,,https://www.dice.com/company/dicedemo?companyname=Dice%20US%20Sales%20Demo%20Account,25
Lead Salesforce Developer,Incedo Inc,"Position: Salesforce Technical Lead  Location: Pittsburgh, PA (remote) Duration: Full time As a Salesforce Lead with expertise in Experience Cloud, Service Cloud, and Marketing Cloud, you will play a critical role in the design, development, and maintenance of our client s Salesforce ecosystem. Must have experience in working with globally distributed teams and agile delivery. You will collaborate with cross-functional teams to implement and optimize solutions that enhance customer experiences,","Chicago, IL, USA",Full-time,Business Analyst Internship,3 days ,2024-05-01 03:24:55.987017,,,https://www.dice.com/company/10476889?companyname=Incedo%20Inc,25
Sales Leader - Insurance,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","Chicago, IL, USA","Full-time, Third Party",Business Analyst Internship,60+ days ,2024-03-05 03:24:55.988031,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,25
Tricentis Tosca Neoload Architect,SumasEdge Corporation,"We are seeking a skilled and experienced Tricentis Tosca & NeoLoad Architect to join our dynamic team. The ideal candidate will have a strong background in software testing, particularly in test automation using Tricentis Tosca, as well as performance testing using NeoLoad. This role will involve designing, implementing, and optimizing test automation and performance testing solutions to ensure the quality and scalability of our software products.  Responsibilities:  Design and implement test au","Chicago, IL, USA","Third Party, Contract",Business Analyst Internship,23 days ,2024-04-11 03:24:55.989031,16 hours ago ,,https://www.dice.com/company/90859492?companyname=SumasEdge%20Corporation,25
"ServiceNow Architect field service module mandatory , Remote",Spiceorb,"Hi, This is Upasna from Spiceorb.we have opening for Servicenow Architect role.If you are available and interested send your updated resume to  ServiceNow Architect, remote role The ServiceNow Architect plays a critical role in the design, implementation, and optimization of ServiceNow solutions within the organization.This position requires a deep understanding of the ServiceNow platform, IT service management processes, and business requirements to architect solutions that drive efficiency, au","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,9 days ,2024-04-25 03:24:55.989031,7 days ago ,,https://www.dice.com/company/91109480?companyname=Spiceorb,25
Azure Cloud/DevOps Engineer -  Lead,Astir IT Solutions,"Experience as a cloud/DevOps engineer with Strong scripting skills. Experience with Microsoft Azure cloud services, including IaaS and PaaS technologies. Experience with automation tools such as Azure DevOps, Ansible, Terraform, or Chef. Build and maintain CI/CD pipelines to enable delivery of cloud-native applications. Implement infrastructure as code to automate the deployment of infrastructure resources. Design and implement monitoring and logging solutions for the cloud environment. Collabor","Chicago, IL, USA","Third Party, Contract",Business Analyst Internship,60+ days ,2024-03-05 03:24:55.990039,12 hours ago ,,https://www.dice.com/company/10110032?companyname=Astir%20IT%20Solutions,25
Kafka Admin,Galax-Esystems Corp,"Role Kafka Tech Admin Location: Remote Duration:6-12 Months Job Responsibility Primary responsibility of Confluent Platform Administrator will be to build, test and maintain Kafka Cluster and its eco-system which is deployed to run Data Streaming use cases for various business units Experience Overall 5+ years of experience out of which 2+ years around Confluent Platform administration Mandatory Job Requirements Manage single and multi-node Kafka cluster deployed on VM, Docker and Kubernetes Con","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,13 hours ,2024-05-03 14:24:55.990039,,,https://www.dice.com/company/10230239?companyname=Galax-Esystems%20Corp,25
Automation Architect,Qualibar,"Job Title: Automation Architect Position: Full Time Client: PWC Location: Remote//Remote/Hybrid  Description: Experience in creation of application specific test strategy and Automation test plan Expertise in creation / maintenance of Test Automation framework (Hybrid / TDD / BDD) from scratch Expertise in creation of API / UI Automated test scripts using Selenium with Java & RestAPI/SoapUI  Exposure and experience in Katalon, Parasoft and Azure ADO are added advantage Hands on experience in del","Chicago, IL, USA",Full-time,Business Analyst Internship,60+ days ,2024-03-05 03:24:55.991039,19 hours ago ,,https://www.dice.com/company/91132260?companyname=Qualibar,25
SAP MM Functional consultant,Vrddhi Solutions LLC,"Position-SAP MM Functional consultant Location-onsite 2-3 days a week (Northfield) Visa: No OPT CPT Experience: 8+Years Duration-18m-2 years Job Description:  AP MM Functional Consultant Roles & ResponsibilitiesFacilitate the implementation and support of SAP MMPerform detailed analysis of complex business process requirements and provide appropriate system solutions; identify, interpret, validate and document customer requirementsFacilitate workshops to collect business requirementsMap client b","Chicago, IL, USA","Contract, Third Party",Business Analyst Internship,60+ days ,2024-03-05 03:24:55.992031,4 days ago ,,https://www.dice.com/company/91138338?companyname=Vrddhi%20Solutions%20LLC,25
Enterprise Data Speclialist,Genome International Corp,"looking for a contractor to provide Data Governance services in support of the Statewide Longitudinal Data Systems (SLDS) federal grant efforts. CDE received the grant award in 2020, and it will continue through February 2025. The early years of the grant focused on two use case areas, Adult Education (AE) and Concurrent Enrollment (CE). There is a significant technology component to this grant effort, CDE already has data-linking technology in place and part of the grant commitment is to modern","Chicago, IL, USA",Contract,Business Analyst Internship,44 days ,2024-03-21 03:24:55.992031,1 day ago ,,https://www.dice.com/company/genwi001?companyname=Genome%20International%20Corp,25
