Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Azure Data Engineer with Talend,StratG Inc,"Stratg Inc is looking for Azure Data engineer for our Direct Client in New York/New Jersey, Please share suitable profiles. Title: Azure Data engineer with Talend Location: NY/NJ Duration:  Longterm JD: -Strong Experience in Azure Data Engineer. -Strong ETL experience  -Talend Experience -Good Knowledge in Basic Java Interested People please share resume on my email  or you can reach me at","Chicago, IL, USA","Third Party, Contract",Data Engineer,17 days ,2024-04-17 02:58:39.624402,,,https://www.dice.com/company/91138575?companyname=StratG%20Inc,111
Neo4j Data Engineer,Incedo Inc,"Position: Neo4j Data Engineer Location: Pittsburgh, PA (Remote) Duration: Full time Qualifications Minimum 3+ years of working experience with knowledge graphs/graph databasesExpertise with Graph database technology especially Neo4JExpertise with Python, and related software engineering platforms/frameworksExperience in designing and building highly scalable Knowledge Graphs in productionExperience developing APIs leveraging knowledge graph dataExperience with querying knowledge graphs using a g","Chicago, IL, USA",Full-time,Data Engineer,3 days ,2024-05-01 02:58:39.624402,,,https://www.dice.com/company/10476889?companyname=Incedo%20Inc,111
Lead Data Engineer with Palantir Foundry,Info Dinamica Inc,"Lead Data Engineer with Palantir Foundry - Remote NOTE - The consultant Needs to work In Europe Time Zone Total experience of 7+ years in Data Engineering and must have at least 3 years of experience in Palantir Foundry. Strong experience with Palantir Data Engineering features such as, Code Repo, Code Workbook, Pipeline Build, migration techniques, Data Connection and Security setup.Design, develop Data Pipelines, and have excellent skills in PySpark and Spark SQL, hands on with code Build and","Chicago, IL, USA","Contract, Third Party",Data Engineer,29 days ,2024-04-05 02:58:39.625403,17 days ago ,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,111
AWS Data Engineer -Remote,Cyma Systems Inc,"Title:  AWS EngineerLocation:  Remote Duration: 6+months . We re Looking for: Minimum 7 years of progressively responsible work experience in Data Engineering , architecture, design and development. Minimum 5 years of experience with ETL/ELT design and development using tools like IICS, AWS Glue, Talend, Databricks, Oracle Data Integrator (ODI) or equivalent.  Minimum 5 years of experience in database architecture using relational SQL (e.g. Snowflake, Oracle, PostgreSQL, MySQL), and NoSQL (Dynam","Chicago, IL, USA",Contract,Data Engineer,23 days ,2024-04-11 02:58:39.626403,13 hours ago ,,https://www.dice.com/company/RTL327349?companyname=Cyma%20Systems%20Inc,111
Google Cloud Platform Data Engineer,"Amzur Technologies, Inc.",Develop and operate data management tools  monitoring data flows  data quality  data cleansing and data processingCreate and document logical data integration strategies for data flows between disparate systems and the enterprise data warehouse data lakesCollaborate with different stakeholders  engineers  data stewards  to collect required data from internal and external systemsWork in an Agile environment that focuses on collaboration and teamworkImprove and extend existing data infrastructure,"Chicago, IL, USA",Contract,Data Engineer,50 days ,2024-03-15 02:58:39.626403,15 hours ago ,,https://www.dice.com/company/10115656?companyname=Amzur%20Technologies%2C%20Inc.,111
Data Engineer,"Amzur Technologies, Inc.","Description: To research, evaluate, design, implement, and maintain system and product solutions, applying knowledge of engineering principles. To provide technical direction and engineering support for projects and infrastructure. Develop and maintain expert functional knowledge of evolving IT engineering industry technologies/competition, concepts and trends. Data deliverables  Data integration framework (Data Lake, Data Warehouse),Data quality control & monitoringPerformance optimizationData","Chicago, IL, USA",Contract,Data Engineer,60+ days ,2024-03-05 02:58:39.627403,15 hours ago ,,https://www.dice.com/company/10115656?companyname=Amzur%20Technologies%2C%20Inc.,111
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","Chicago, IL, USA",Contract,Data Engineer,31 days ,2024-04-03 02:58:39.627403,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,111
AWS Data Engineer with Databricks_REMOTE,Astir IT Solutions,"Tech skills  Databricks, Python. Strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata management, dependency, and workload management. Hands-on experience in Python is a must. Experience working with structured and unstructured data. Extensive knowledge of ETL and Data Warehousing concepts, strategies, methodologies Experience in data ingestion, preparation, integration, and operationalization techniques i","Chicago, IL, USA",Contract,Data Engineer,60+ days ,2024-03-05 02:58:39.628402,12 hours ago ,,https://www.dice.com/company/10110032?companyname=Astir%20IT%20Solutions,111
Machine Learning Engineer,Best High Technologies,"Job Description: We are seeking a talented Machine Learning Engineer with expertise in software engineering to join our team. As a Machine Learning Engineer, your primary responsibility will be to develop machine learning (ML) solutions that focus on technology process improvements. Specifically, you will be working on projects involving ML & Generative AI solutions for Technology & Data Management Efficiencies such as optimal cloud computing, knowledge bots, Software Code Assistants, Automatic","Chicago, IL, USA","Third Party, Contract",Data Engineer,13 hours ,2024-05-03 13:58:39.629390,13 hours ago ,,https://www.dice.com/company/90979221?companyname=Best%20High%20Technologies,111
ML Engineer,Best High Technologies,"Job Description: We are seeking a talented Machine Learning Engineer with expertise in software engineering to join our team. As a Machine Learning Engineer, your primary responsibility will be to develop machine learning (ML) solutions that focus on technology process improvements. Specifically, you will be working on projects involving ML & Generative AI solutions for Technology & Data Management Efficiencies such as optimal cloud computing, knowledge bots, Software Code Assistants, Automatic","Chicago, IL, USA","Contract, Third Party",Data Engineer,13 hours ,2024-05-03 13:58:39.629390,13 hours ago ,,https://www.dice.com/company/90979221?companyname=Best%20High%20Technologies,111
BI Engineer :: Remote :: W2 Profiles Only,Aorton Inc,"Role : BI Analytics Engineer  Location: Remote Job Description: Six Month Expectations Contribute to the data pipeline process, creating new pipelines that further data availability on our BI platform Take ownership of portions of our data stack Proactively solve issues or errors within the data pipeline Take an active role in designing the future of our data pipeline or BI platforms Collaborate with the team on best practices and overall business strategy Take ownership of data office hours and","Chicago, IL, USA",Contract,Data Engineer,1 day ,2024-05-03 02:58:39.630402,,,https://www.dice.com/company/91140841?companyname=Aorton%20Inc,111
ServiceNow Data + Integrations Architect,HL Solutions LLC,"Job Description:-  ServiceNow Data + Integrations Architect (Level 3) Primary Skill: Data + Integration Architect , CSA + at least 2 mainline certifications  ServiceNow Data Architect - 40% Govern demand for inbound/outbound data feed intake and delivery Collaboration point between platform, product, EA, and EDS teams to ensure data in ServiceNow is ""fit-for-purpose"" Ensure alignment of data model hierarchy to EA and EDS standards Govern quality and certification of data model Ensure implementat","Chicago, IL, USA","Contract, Third Party",Data Engineer,17 days ,2024-04-17 02:58:39.630402,,,https://www.dice.com/company/91089103?companyname=HL%20Solutions%20LLC,111
Sr Oracle Database Developer - W2 Only - HYBRID,"Mitchell Martin, Inc.","Sr Oracle Database Developer - W2 Only - HYBRID Location: Chicago, IL W2 Only Opening in Chicago, IL and/or Denver, CO  H1 Transfer is an Option  Duration: 12 - 24 Months NO C2C or NO Third Party for this openings Required Skills and Qualifications: 6 to 10 years of Oracle Applications related development experience using PL/SQL. 3 years of Informatica development experience. Any Development with Python is preferred Development and troubleshooting skills using SQL, PLSQL and Shell scripts. Condu","Chicago, IL, USA",Contract,Data Engineer,60+ days ,2024-03-05 02:58:39.631402,4 days ago ,,https://www.dice.com/company/mitchmar2?companyname=Mitchell%20Martin%2C%20Inc.,111
Google Cloud Platform Data Architect,DVG Tech Solutions LLC,"Job Description: The Role We seek an experienced Google Cloud Platform Data Architect to shape and lead our data architecture and analytics initiatives on the Google Cloud Platform. You'll work closely with cross-functional teams to design scalable data solutions, optimize data pipelines, and enable data-driven decision-making across the organization. Key Responsibilities:  Architecture Design: Craft scalable and reliable data architectures on Google Cloud Platform, encompassing data ingestion,","Chicago, IL, USA","Third Party, Contract",Data Engineer,10 days ,2024-04-24 02:58:39.632390,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,111
Remote Alteryx ETL developer Full time or Part time,CapB InfoteK LLC,"We have an immediate need for a strong Alteryx ETL Developer /Data Engineer to participate in  one of our Data Management Project . This is a 100% remote opportunity, but consultants need to have a place of residence anywhere in Wisconsin. Desired Experience:Using ETL tools to design ETL jobs (ETL 6 years, preferably 2 years of with Alteryx)Developing various types of data loads and Implementing change data capture (CDC)Testing and debugging ETL. Developing complex SQL. ETL job scheduling Loadin","Chicago, IL, USA",Contract,Data Engineer,53 days ,2024-03-12 02:58:39.632390,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,111
Azure Data Architect,Intraedge,"Job Title: : Azure Data Architect Location: REMOTE Duration: Long Term Contract  Responsibilities: Engineer Azure-based solutions with a focus on cost-efficiency, performance, and operational effectiveness. Craft and enforce a framework to quantify data quality across various customer and prospect sources, ensuring data accuracy, completeness, consistency, and timeliness. Scrutinize first-party customer data sources to establish the most reliable ones and formulate ingestion strategies for both","Chicago, IL, USA","Contract, Third Party",Data Engineer,3 days ,2024-05-01 02:58:39.633381,1 day ago ,,https://www.dice.com/company/10121492?companyname=Intraedge,111
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","Chicago, IL, USA",Contract,Data Engineer,16 hours ,2024-05-03 10:58:39.633381,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,111
Residential Solutions Architect,Computomic,"Role: Resident Solution Architect (RSA) Experience: 10+ years years consulting, 7+ years in data engineering Location: London /Remote. United Kingdom Background: Computomic was founded in 2019 with a vision to design and deploy mission critical and highly differentiated Data & AI solutions for companies looking to migrate their data stack from legacy data platforms such as Teradata, Cloudera, Datastage and Informatica to modern data platforms like Databricks. Over the last few years, we have bec","Chicago, IL, USA",Contract,Data Engineer,38 days ,2024-03-27 02:58:39.634403,23 days ago ,,https://www.dice.com/company/91129876?companyname=Computomic,111
AWS Data Architect,WinWire Technologies,"Job title: AWS Data Architect Pharma exp Must Location: Alameda, CA Remote Duration: open for full time/ Contract to hire  Let s not just look at Pharma experience since there could be folks with Clinical domain experience which is not relevant. It needs to be Pharma Commercial on domain and AWS Data Engineering / Architecture (hands on). Someone who can set direction, define data patterns, establish customer domains and design with AWS tools.  * Rebates * Marketing * Market Access * Sales * Arc","Chicago, IL, USA","Full-time, Third Party",Data Engineer,57 days ,2024-03-08 02:58:39.634403,2 days ago ,,https://www.dice.com/company/RTL854830?companyname=WinWire%20Technologies,111
Senior Data Analyst,Vy Systems,"Year of experience 10+Expert in SQLData warehousing conceptsData prep, ability to connect data across different sources to solve a problem.Critical thinking & Problem-solvingAttention to detail.Domain knowledge automotive finance or loan processingAbility to reverse engineer from Qlik sense, Alteryx, JCL s, Cobol code etc. to move on perm warehouse to Google Cloud Platform.Knowledge of Google Cloud Platform BigqueryTesting to catch issues before going to UAT.","Chicago, IL, USA","Contract, Third Party",Data Engineer,24 days ,2024-04-10 02:58:39.635403,24 days ago ,,https://www.dice.com/company/10114746?companyname=Vy%20Systems,111
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Chicago, IL, USA",Full-time,Data Engineer,15 days ,2024-04-19 02:58:39.636390,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,111
ITSM CMDB / Data Analysis expertise- 100% Remote role - Canada/LATAM Based,Acnovate Business Solutions Inc.,"ITSM CMDB / Data Analysis expertise 100% Remote (Near Shore - Canada/Latin America) Long term Contract Job Description: Configuration Management Database (CMDB) Maintenance: The Asset and Configuration Manager is responsible for managing and maintaining the CMDB in ServiceNow. This involves ensuring accurate and up-to-date information about all configuration items (CIs) within the IT infrastructure, including hardware, software, and other assets. Configuration Identification: Working with differ","Chicago, IL, USA","Contract, Third Party",Data Engineer,37 days ,2024-03-28 02:58:39.636390,19 hours ago ,,https://www.dice.com/company/10127360?companyname=Acnovate%20Business%20Solutions%20Inc.,111
Collibra Data Quality Consultant (Collibra DQ),Xoriant Corporation,Looking for someone who is an expert on all functionalities provided by Collibra DQ.Preferred if they have worked with Collibra DQ in a healthcare setting.It would be even better if they have connected to Databricks as a data source from Collibra DQ.,"Chicago, IL, USA","Contract, Third Party",Data Engineer,3 days ,2024-05-01 02:58:39.637403,,,https://www.dice.com/company/xorca001?companyname=Xoriant%20Corporation,111
Oracle HCM Platform Support (Techno-Functional) - Remote,Cyber Sphere LLC,"Job title: Oracle HCM Platform Support  (Techno-Functional) Remote - EST Long term Prior Experience of HCM Release Management for Oracle HCM components (EXTRACT, ALERT, BIP, Reports), Well versed with Oracle CSM & FSM tool for automated Release Management Prior experience of Managing Oracle POD, instance strategy, P2T, T2T, Data Masking Certificate Management for Real time Integrations. Experience generate, import, export, and delete PGP and X.509 certificates for data encryption and decryption","Chicago, IL, USA","Third Party, Contract",Data Engineer,3 days ,2024-05-01 02:58:39.638388,,,https://www.dice.com/company/91081414?companyname=Cyber%20Sphere%20LLC,111
Technical Architect,ASCII Group LLC,"Position: Architect on Ingestion tools like HVR & Appflow Location: Remote Duration: Long Term Client: Pharma  Description: HVR Administration: Relevant Exp 5+ years HVR Tool Management:  Lead the configuration, administration, and management of the HVR tool, ensuring its optimal performance and adherence to industry best practices.Configure data source connections and manage HVR agents.Identify and raise system capacity related issues (storage, licenses, performance threshold).Participate in ov","Chicago, IL, USA","Third Party, Contract",Data Engineer,3 days ,2024-05-01 02:58:39.638388,2 days ago ,,https://www.dice.com/company/10117479?companyname=ASCII%20Group%20LLC,111
Enterprise Data Speclialist,Genome International Corp,"looking for a contractor to provide Data Governance services in support of the Statewide Longitudinal Data Systems (SLDS) federal grant efforts. CDE received the grant award in 2020, and it will continue through February 2025. The early years of the grant focused on two use case areas, Adult Education (AE) and Concurrent Enrollment (CE). There is a significant technology component to this grant effort, CDE already has data-linking technology in place and part of the grant commitment is to modern","Chicago, IL, USA",Contract,Data Engineer,44 days ,2024-03-21 02:58:39.639403,1 day ago ,,https://www.dice.com/company/genwi001?companyname=Genome%20International%20Corp,111
Power BI Developer,Symphony Corporation,"Responsibilities: Quickly assimilate and extract relevant supply chain data from our extensive data lake.Develop, design, and maintain advanced Power BI reports and dashboards specific to supply chain metrics.Utilize complex data sources in a Supply Chain context, including but not limited to inventory levels, logistics performance, and vendor management.Transform raw data into meaningful insights through engaging visuals and interactive reports.Work closely with Supply Chain stakeholders to ide","Chicago, IL, USA",Contract,Data Engineer,14 days ,2024-04-20 02:58:39.639403,,,https://www.dice.com/company/10115170?companyname=Symphony%20Corporation,111
SOLUTIONS ARCHITECT,TribolaTech Inc.,"15+ YEARS EXPERIENCE Responsibilities: Data Ingestion:Lead the design and development of data ingestion processes, extracting data from various sources and formats.Data Lake Architecture:Architect, implement, and maintain the data lake architecture, including landing, raw, and curated layers, ensuring efficient storage, processing, and retrieval of data.Staging Area Management:Establish and manage the staging area within the data lake, facilitating the consolidation and preparation of data befor","Chicago, IL, USA",Contract,Data Engineer,11 days ,2024-04-23 02:58:39.640403,,,https://www.dice.com/company/10410723?companyname=TribolaTech%20Inc.,111
AI Consulting Lead - SVP,"ReQignition, Inc.","Company DescriptionBlend is a premier AI services provider, committed to co-creating meaningful impact for its clients through the power of data science, AI, technology, and people. With a mission to fuel bold visions, Blend tackles significant challenges by seamlessly aligning human expertise with artificial intelligence. The company is dedicated to unlocking value and fostering innovation for its clients by harnessing world-class people and data-driven strategy. We believe that the power of pe","Chicago, IL, USA",Full-time,Data Engineer,24 days ,2024-04-10 02:58:39.641390,,,https://www.dice.com/company/90941004?companyname=ReQignition%2C%20Inc.,111
Data Science with ML,Astir IT Solutions,"Experience with Machine Learning, Data Science, Data Engineering principles and technologies such as R, Python, SQL. Experience delivering and managing AI/ML based software products. Experience with agile software development methodology. Proven experience with data engineering and ETL techniques using data from a wide variety of data sources. Rigorous understanding of statistics/machine learning and ability to discern appropriate analytics techniques to problem-solve. Knowledge of data warehous","Chicago, IL, USA",Contract,Data Engineer,45 days ,2024-03-20 02:58:39.641390,12 hours ago ,,https://www.dice.com/company/10110032?companyname=Astir%20IT%20Solutions,111
SAP OTC consultant,Mahaugha LLC,"Job Description: Proficient in SAP OTC (Order to Cash) and integration with other SAP modules.Extensive experience with SAP S4 HANA transformations and migrations.Strong understanding of SAP ABAP/4 language for debugging and enhancing standard SAP applications.Exceptional ability in end-to-end implementation of SAP projects.Superior communication skills, both written and verbal for liaising with stakeholders at all levels to gatherrequirements and provide updates.Have experience with integration","Chicago, IL, USA",Contract,Data Engineer,22 days ,2024-04-12 02:58:39.642403,16 days ago ,,https://www.dice.com/company/91114983?companyname=Mahaugha%20LLC,111
AI Engineer - Open Source Models Specialist,P2PSoftTek Inc,"AI Engineer - Open Source Models Specialist Remote Description :  1. Research, develop, and implement state-of-the-art AI models using open source frameworks and tools, with a focus on Hugging Face Datasets. 2. Fine-tune pre-trained models to specific tasks and domains, ensuring optimal performance and accuracy. 3. Build and optimize NLP encoders and transformers to support various natural language processing tasks and applications. 4. Design and maintain a scalable vector database for efficient","Chicago, IL, USA","Contract, Third Party",Data Engineer,7 days ,2024-04-27 02:58:39.643403,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,111
IBM Datacap Developer,P2PSoftTek Inc,"IBM Datacap Developer Remote Role Description : Collaborate with stakeholders to gather and analyze business requirements for document capture and data extraction processes.Design and architect IBM Datacap, AWS Textract solutions to meet business needs, including document classification, data extraction, and workflow automation.Develop and customize IBM Datacap, AWS Textract applications flows, modules, and components using Datacap Studio, Datacap Navigator, and other tools.Configure and optimiz","Chicago, IL, USA","Contract, Third Party",Data Engineer,24 days ,2024-04-10 02:58:39.643403,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,111
Principal Enterprise Architect-12 Months Contract-Remote opportunity.,Accion Labs,Greetings from Accionlabs!!  Our Direct client is looking for Principal Enterprise Architect-12 Months Contract-Remote opportunity.  Job Description: As Principal Architect - Enterprise you will drive world-class cloud solutions based on the AWS & Azure platform to accelerate the delivery of our customer facing expert solutions and improve the reliability & security of our applications. You will take a lead role in defining and promoting the architecture direction and governance for Cloud strate,"Chicago, IL, USA","Contract, Third Party",Data Engineer,17 hours ,2024-05-03 09:58:39.644403,17 hours ago ,,https://www.dice.com/company/10428868?companyname=Accion%20Labs,111
Mainframe Computer Operator II - Night Shift,Black Knight Inc,"SUMMARYResponsible for operating computer, computer-related hardware and other operations area equipment. Performs support activities in computer operations.  SHIFT Night Shift: 7:00pm - 7:00am ET Wednesday - Friday and every other Saturday.  This position can be 100% remote!  RESPONSIBILITIES Monitors and controls a computer console to process and complete jobs.Investigates error conditions in computer processing, equipment malfunction and/or network (on-line) performance in order to determine","Chicago, IL, USA",Full-time,Data Engineer,60+ days ,2024-03-05 02:58:39.644403,29 days ago ,,https://www.dice.com/company/10361826?companyname=Black%20Knight%20Inc,111
ETL ODI Developer,P2PSoftTek Inc,"ETL ODI Developer Remote Role  Description  ODI Experience Proficient in PL SQL, Oracle SQL Plusses SSIS experience - OBI: Operations business intelligence - Data analytics/data science - Business IT unit - Why? We sit in business and provide analytics solution to the business - Most of work supports electric ops and working with field crews, office, working with EMS data, ATMS, GIS, SAP, all sorts of data sets 70 different data sets analytics on data - Oracle based technology stack - Solutions","Chicago, IL, USA","Contract, Third Party",Data Engineer,60+ days ,2024-03-05 02:58:39.645390,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,111
Consulting Director - Digital Transformation (remote),RedRiver Systems L.L.C.,"Great opportunity within growing international company developing state-of-the-art products supporting IoT and communication systems worldwide. This is a hands-on opportunity working with customers creating Digital Transformation solutions to drive their Overall Equipment Effectiveness. RESPONSIBILITIES Identify, prioritize, frame and structure complex and ambiguous challenges to help clients build realistic and scalable digital strategies that meet their company specific needs.Lead Digital Tran","Chicago, IL, USA",Full-time,Data Engineer,9 days ,2024-04-25 02:58:39.645390,20 hours ago ,,https://www.dice.com/company/10122941?companyname=RedRiver%20Systems%20L.L.C.,111
Test Do Not Apply - Senior Full Stack Developer,Dice US Sales Demo Account,"Job Type: Full-time Location: Greenwood Village, Colorado We are seeking an experienced Senior Full Stack Developer to join our dynamic team. The successful candidate will be responsible for developing, maintaining, and enhancing web applications that meet the needs of our clients. As a Senior Full Stack Developer, you will work closely with our cross-functional teams to ensure that our products are delivered on time, within budget, and to the highest quality standards. Responsibilities: Develop","Chicago, IL, USA",Full-time,Data Engineer,18 days ,2024-04-16 02:58:39.646403,4 days ago ,,https://www.dice.com/company/dicedemo?companyname=Dice%20US%20Sales%20Demo%20Account,111
Cloud Architect-Google Cloud Platform,Cloudpaths,"Looking for a Google Cloud Platform Engineer/Google Cloud Platform Developer for one of my direct clients in US. The client is neither looking for core data engineer nor DevOps/SRE. Required: - Experience in leading the architecture and design of complex cloud solutions on Google Cloud Platform (Google Cloud Platform) to meet business objectives and performance requirements.Experience in developing and implement data storage and management strategies on Google Cloud Platform, utilizing services","Chicago, IL, USA","Contract, Third Party",Data Engineer,15 hours ,2024-05-03 11:58:39.647403,,,https://www.dice.com/company/91016258?companyname=Cloudpaths,111
Software Engineer in Test - Playwright with Typescript,Vidorra Consulting Group,"Visa Sponsorship is available for this opportunity. Our reputed client based out of the Houston area is seeking for multiple Sr. Full Stack Quality Engineer with strong hands-on Manual testing experience on cloud-based infrastructure and services in Serverless, Event driven architectures on Azure cloud. Deep understanding and problem-solving ability of various complexities, experience collaborating on teams with multiple disciplines (DevOps, Data engineers, Software engineers). Self-organized an","Chicago, IL, USA",Full-time,Data Engineer,60+ days ,2024-03-05 02:58:39.647403,8 days ago ,,https://www.dice.com/company/RTX1a5d37?companyname=Vidorra%20Consulting%20Group,111
