Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Chicago, IL, USA",Full-time,Data Internship,15 days ,2024-04-19 03:13:31.744267,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,116
ServiceNow Data + Integrations Architect,HL Solutions LLC,"Job Description:-  ServiceNow Data + Integrations Architect (Level 3) Primary Skill: Data + Integration Architect , CSA + at least 2 mainline certifications  ServiceNow Data Architect - 40% Govern demand for inbound/outbound data feed intake and delivery Collaboration point between platform, product, EA, and EDS teams to ensure data in ServiceNow is ""fit-for-purpose"" Ensure alignment of data model hierarchy to EA and EDS standards Govern quality and certification of data model Ensure implementat","Chicago, IL, USA","Contract, Third Party",Data Internship,17 days ,2024-04-17 03:13:31.744267,,,https://www.dice.com/company/91089103?companyname=HL%20Solutions%20LLC,116
Sr Oracle Database Developer - W2 Only - HYBRID,"Mitchell Martin, Inc.","Sr Oracle Database Developer - W2 Only - HYBRID Location: Chicago, IL W2 Only Opening in Chicago, IL and/or Denver, CO  H1 Transfer is an Option  Duration: 12 - 24 Months NO C2C or NO Third Party for this openings Required Skills and Qualifications: 6 to 10 years of Oracle Applications related development experience using PL/SQL. 3 years of Informatica development experience. Any Development with Python is preferred Development and troubleshooting skills using SQL, PLSQL and Shell scripts. Condu","Chicago, IL, USA",Contract,Data Internship,60+ days ,2024-03-05 03:13:31.744267,4 days ago ,,https://www.dice.com/company/mitchmar2?companyname=Mitchell%20Martin%2C%20Inc.,116
Google Cloud Platform Data Architect,DVG Tech Solutions LLC,"Job Description: The Role We seek an experienced Google Cloud Platform Data Architect to shape and lead our data architecture and analytics initiatives on the Google Cloud Platform. You'll work closely with cross-functional teams to design scalable data solutions, optimize data pipelines, and enable data-driven decision-making across the organization. Key Responsibilities:  Architecture Design: Craft scalable and reliable data architectures on Google Cloud Platform, encompassing data ingestion,","Chicago, IL, USA","Third Party, Contract",Data Internship,10 days ,2024-04-24 03:13:31.744267,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,116
IBM Datacap Developer,P2PSoftTek Inc,"IBM Datacap Developer Remote Role Description : Collaborate with stakeholders to gather and analyze business requirements for document capture and data extraction processes.Design and architect IBM Datacap, AWS Textract solutions to meet business needs, including document classification, data extraction, and workflow automation.Develop and customize IBM Datacap, AWS Textract applications flows, modules, and components using Datacap Studio, Datacap Navigator, and other tools.Configure and optimiz","Chicago, IL, USA","Contract, Third Party",Data Internship,24 days ,2024-04-10 03:13:31.744267,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,116
Enterprise Data Speclialist,Genome International Corp,"looking for a contractor to provide Data Governance services in support of the Statewide Longitudinal Data Systems (SLDS) federal grant efforts. CDE received the grant award in 2020, and it will continue through February 2025. The early years of the grant focused on two use case areas, Adult Education (AE) and Concurrent Enrollment (CE). There is a significant technology component to this grant effort, CDE already has data-linking technology in place and part of the grant commitment is to modern","Chicago, IL, USA",Contract,Data Internship,44 days ,2024-03-21 03:13:31.744267,1 day ago ,,https://www.dice.com/company/genwi001?companyname=Genome%20International%20Corp,116
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","Chicago, IL, USA",Contract,Data Internship,17 hours ,2024-05-03 10:13:31.744267,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,116
Lead Data Engineer with Palantir Foundry,Info Dinamica Inc,"Lead Data Engineer with Palantir Foundry - Remote NOTE - The consultant Needs to work In Europe Time Zone Total experience of 7+ years in Data Engineering and must have at least 3 years of experience in Palantir Foundry. Strong experience with Palantir Data Engineering features such as, Code Repo, Code Workbook, Pipeline Build, migration techniques, Data Connection and Security setup.Design, develop Data Pipelines, and have excellent skills in PySpark and Spark SQL, hands on with code Build and","Chicago, IL, USA","Contract, Third Party",Data Internship,29 days ,2024-04-05 03:13:31.744267,17 days ago ,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,116
Residential Solutions Architect,Computomic,"Role: Resident Solution Architect (RSA) Experience: 10+ years years consulting, 7+ years in data engineering Location: London /Remote. United Kingdom Background: Computomic was founded in 2019 with a vision to design and deploy mission critical and highly differentiated Data & AI solutions for companies looking to migrate their data stack from legacy data platforms such as Teradata, Cloudera, Datastage and Informatica to modern data platforms like Databricks. Over the last few years, we have bec","Chicago, IL, USA",Contract,Data Internship,38 days ,2024-03-27 03:13:31.744267,23 days ago ,,https://www.dice.com/company/91129876?companyname=Computomic,116
AWS Data Architect,WinWire Technologies,"Job title: AWS Data Architect Pharma exp Must Location: Alameda, CA Remote Duration: open for full time/ Contract to hire  Let s not just look at Pharma experience since there could be folks with Clinical domain experience which is not relevant. It needs to be Pharma Commercial on domain and AWS Data Engineering / Architecture (hands on). Someone who can set direction, define data patterns, establish customer domains and design with AWS tools.  * Rebates * Marketing * Market Access * Sales * Arc","Chicago, IL, USA","Full-time, Third Party",Data Internship,57 days ,2024-03-08 03:13:31.760618,2 days ago ,,https://www.dice.com/company/RTL854830?companyname=WinWire%20Technologies,116
Test Do Not Apply - Senior Full Stack Developer,Dice US Sales Demo Account,"Job Type: Full-time Location: Greenwood Village, Colorado We are seeking an experienced Senior Full Stack Developer to join our dynamic team. The successful candidate will be responsible for developing, maintaining, and enhancing web applications that meet the needs of our clients. As a Senior Full Stack Developer, you will work closely with our cross-functional teams to ensure that our products are delivered on time, within budget, and to the highest quality standards. Responsibilities: Develop","Chicago, IL, USA",Full-time,Data Internship,18 days ,2024-04-16 03:13:31.761649,4 days ago ,,https://www.dice.com/company/dicedemo?companyname=Dice%20US%20Sales%20Demo%20Account,116
Azure Data Architect,Intraedge,"Job Title: : Azure Data Architect Location: REMOTE Duration: Long Term Contract  Responsibilities: Engineer Azure-based solutions with a focus on cost-efficiency, performance, and operational effectiveness. Craft and enforce a framework to quantify data quality across various customer and prospect sources, ensuring data accuracy, completeness, consistency, and timeliness. Scrutinize first-party customer data sources to establish the most reliable ones and formulate ingestion strategies for both","Chicago, IL, USA","Contract, Third Party",Data Internship,3 days ,2024-05-01 03:13:31.763114,1 day ago ,,https://www.dice.com/company/10121492?companyname=Intraedge,116
ITSM CMDB / Data Analysis expertise- 100% Remote role - Canada/LATAM Based,Acnovate Business Solutions Inc.,"ITSM CMDB / Data Analysis expertise 100% Remote (Near Shore - Canada/Latin America) Long term Contract Job Description: Configuration Management Database (CMDB) Maintenance: The Asset and Configuration Manager is responsible for managing and maintaining the CMDB in ServiceNow. This involves ensuring accurate and up-to-date information about all configuration items (CIs) within the IT infrastructure, including hardware, software, and other assets. Configuration Identification: Working with differ","Chicago, IL, USA","Contract, Third Party",Data Internship,37 days ,2024-03-28 03:13:31.763370,20 hours ago ,,https://www.dice.com/company/10127360?companyname=Acnovate%20Business%20Solutions%20Inc.,116
Collibra Data Quality Consultant (Collibra DQ),Xoriant Corporation,Looking for someone who is an expert on all functionalities provided by Collibra DQ.Preferred if they have worked with Collibra DQ in a healthcare setting.It would be even better if they have connected to Databricks as a data source from Collibra DQ.,"Chicago, IL, USA","Contract, Third Party",Data Internship,3 days ,2024-05-01 03:13:31.763370,,,https://www.dice.com/company/xorca001?companyname=Xoriant%20Corporation,116
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","Chicago, IL, USA",Contract,Data Internship,31 days ,2024-04-03 03:13:31.763370,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,116
Oracle HCM Platform Support (Techno-Functional) - Remote,Cyber Sphere LLC,"Job title: Oracle HCM Platform Support  (Techno-Functional) Remote - EST Long term Prior Experience of HCM Release Management for Oracle HCM components (EXTRACT, ALERT, BIP, Reports), Well versed with Oracle CSM & FSM tool for automated Release Management Prior experience of Managing Oracle POD, instance strategy, P2T, T2T, Data Masking Certificate Management for Real time Integrations. Experience generate, import, export, and delete PGP and X.509 certificates for data encryption and decryption","Chicago, IL, USA","Third Party, Contract",Data Internship,3 days ,2024-05-01 03:13:31.763370,,,https://www.dice.com/company/91081414?companyname=Cyber%20Sphere%20LLC,116
Technical Architect,ASCII Group LLC,"Position: Architect on Ingestion tools like HVR & Appflow Location: Remote Duration: Long Term Client: Pharma  Description: HVR Administration: Relevant Exp 5+ years HVR Tool Management:  Lead the configuration, administration, and management of the HVR tool, ensuring its optimal performance and adherence to industry best practices.Configure data source connections and manage HVR agents.Identify and raise system capacity related issues (storage, licenses, performance threshold).Participate in ov","Chicago, IL, USA","Third Party, Contract",Data Internship,3 days ,2024-05-01 03:13:31.763370,2 days ago ,,https://www.dice.com/company/10117479?companyname=ASCII%20Group%20LLC,116
Azure Data Engineer with Talend,StratG Inc,"Stratg Inc is looking for Azure Data engineer for our Direct Client in New York/New Jersey, Please share suitable profiles. Title: Azure Data engineer with Talend Location: NY/NJ Duration:  Longterm JD: -Strong Experience in Azure Data Engineer. -Strong ETL experience  -Talend Experience -Good Knowledge in Basic Java Interested People please share resume on my email  or you can reach me at","Chicago, IL, USA","Third Party, Contract",Data Internship,17 days ,2024-04-17 03:13:31.763370,,,https://www.dice.com/company/91138575?companyname=StratG%20Inc,116
Power BI Developer,Symphony Corporation,"Responsibilities: Quickly assimilate and extract relevant supply chain data from our extensive data lake.Develop, design, and maintain advanced Power BI reports and dashboards specific to supply chain metrics.Utilize complex data sources in a Supply Chain context, including but not limited to inventory levels, logistics performance, and vendor management.Transform raw data into meaningful insights through engaging visuals and interactive reports.Work closely with Supply Chain stakeholders to ide","Chicago, IL, USA",Contract,Data Internship,14 days ,2024-04-20 03:13:31.763370,,,https://www.dice.com/company/10115170?companyname=Symphony%20Corporation,116
SOLUTIONS ARCHITECT,TribolaTech Inc.,"15+ YEARS EXPERIENCE Responsibilities: Data Ingestion:Lead the design and development of data ingestion processes, extracting data from various sources and formats.Data Lake Architecture:Architect, implement, and maintain the data lake architecture, including landing, raw, and curated layers, ensuring efficient storage, processing, and retrieval of data.Staging Area Management:Establish and manage the staging area within the data lake, facilitating the consolidation and preparation of data befor","Chicago, IL, USA",Contract,Data Internship,11 days ,2024-04-23 03:13:31.763370,,,https://www.dice.com/company/10410723?companyname=TribolaTech%20Inc.,116
AI Consulting Lead - SVP,"ReQignition, Inc.","Company DescriptionBlend is a premier AI services provider, committed to co-creating meaningful impact for its clients through the power of data science, AI, technology, and people. With a mission to fuel bold visions, Blend tackles significant challenges by seamlessly aligning human expertise with artificial intelligence. The company is dedicated to unlocking value and fostering innovation for its clients by harnessing world-class people and data-driven strategy. We believe that the power of pe","Chicago, IL, USA",Full-time,Data Internship,24 days ,2024-04-10 03:13:31.772864,,,https://www.dice.com/company/90941004?companyname=ReQignition%2C%20Inc.,116
Data Science with ML,Astir IT Solutions,"Experience with Machine Learning, Data Science, Data Engineering principles and technologies such as R, Python, SQL. Experience delivering and managing AI/ML based software products. Experience with agile software development methodology. Proven experience with data engineering and ETL techniques using data from a wide variety of data sources. Rigorous understanding of statistics/machine learning and ability to discern appropriate analytics techniques to problem-solve. Knowledge of data warehous","Chicago, IL, USA",Contract,Data Internship,45 days ,2024-03-20 03:13:31.772864,12 hours ago ,,https://www.dice.com/company/10110032?companyname=Astir%20IT%20Solutions,116
