Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
"(""Business Analysis"" OR ""Product Owner"")",Yom Solutions LLC,"Job Title: Business Analysis / Product Owner Location: Dallas, TX (Hybrid) Duration: 12 Month Job Description: IT Product Owner & BAWork with business requirements, user stories, defect on solutioning and roadmap planning Create functional design documentWork and approve with QA on test scriptsDrive application stability and performance","Dallas, TX, USA",Contract,Business Analyst Internship,4 days ,2024-04-30 03:24:11.771529,21 hours ago ,,https://www.dice.com/company/91143504?companyname=Yom%20Solutions%20LLC,36
Sr. Business Analyst with Operational Risk experience.,"IRIS Software, Inc.","Our Client which is a large Investment Bank is urgently looking to hire a Sr. Business Analyst with Operational Risk experience. Sr. Business Analyst with Operational Risk Multiple Locations - Rutherford, NJ - Irving TX - Tampa, FL Skills - Strong Business Analysis. Good experience with Operational Risk. Good knowledge of Databases. Intermediate Strong SQL Queries. Agile - Required.","Dallas, TX, USA",Full-time,Business Analyst Internship,3 days ,2024-05-01 03:24:11.771529,,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,36
Salesforce BA / Onsite from Day one. NO REMOTE,Marlabs LLC,"Please email me your resumes @  ()or call me on my cell .  Job Title: Salesforce BA / Onsite from Day one. NO REMOTE  Location: Irving, TX- 3 days in office. Duration: 6-12 months Detail Job Description  POSITION SUMMARY Business System Analyst fulfills analyst activities specific to their department that are found in agile and traditional software development and process engineering organization. This role is responsible for leading discrete projects that are focused on creating efficiency with","Dallas, TX, USA","Contract, Third Party",Business Analyst Internship,43 days ,2024-03-22 03:24:11.771529,21 days ago ,,https://www.dice.com/company/marlabnj?companyname=Marlabs%20LLC,36
129813: - Lead Business Analyst,"Key Business Solutions, Inc.","129813: - Lead Business Analyst Remote 12 Months Need 3 Reference at the submission Job Description: This position will require a qualified Technical Business Analyst to take the lead in the following tasks: Ability to create and document detailed business requirements, perform analysis, outlining problems, opportunities and solutions for the stakeholders Author and update internal and external documentation, and formally initiate and deliver requirements and documentation A strong understanding","Dallas, TX, USA","Full-time, Third Party",Business Analyst Internship,4 days ,2024-04-30 03:24:11.771529,,,https://www.dice.com/company/RTL149247?companyname=Key%20Business%20Solutions%2C%20Inc.,36
Business Analyst Lead with Utilities/Estimation exp,Verism Systems,"MUST HAVE SKILLS: Utilities/Electric/Gas experienceWorking knowledge of estimating Working knowledge of estimating tools (i.e. EES)  Working knowledge of joint pole activities & technology Engineering and Estimating work  Looking for an experienced analyst to support the Service Planning & Design functional area. The candidate will work closely with the business on behalf of IT on multiple, complex technology projects supporting SP&D employees and contractor workforce, especially in the area of","Dallas, TX, USA","Third Party, Contract",Business Analyst Internship,14 days ,2024-04-20 03:24:11.771529,4 days ago ,,https://www.dice.com/company/10123692?companyname=Verism%20Systems,36
"BA with Mortgage - no remote, 3 days in office",Marlabs LLC,"Please email me your resumes @  ()or call me on my cell . Job Title: BA- Mortgage / Onsite from Day one. NO REMOTE  Location: Irving, TX Duration: 6-12 months Detail Job Description: Experience in Mortgage domain mandatory Business System Analyst fulfills analyst activities specific to their department that are found in agile and traditional software development and process engineering organization. This role is responsible for leading discrete projects that are focused on creating efficiency wi","Dallas, TX, USA","Contract, Third Party",Business Analyst Internship,60+ days ,2024-03-05 03:24:11.771529,21 days ago ,,https://www.dice.com/company/marlabnj?companyname=Marlabs%20LLC,36
Sailpoint / OKTA engineer- onsite 3 days in office,Marlabs LLC,"Please email me your resumes @  ()or call me on my cell .  Job Title: Sailpoint / OKTA Engineer/ Hybrid /  Location: Irving, TX 3 days in office Duration: 6-12 months Detail Job Description: The principal (OKTA/Sailpoint) Software Engineer is responsible for identification and development enterprise solutions. 10+ yrs exp needed. Needed locals who can go to office, 3 days a week. RESPONSIBILITIES: Responsible for one or more applications, working with Business Systems Manager and Business Analys","Dallas, TX, USA","Contract, Third Party",Business Analyst Internship,35 days ,2024-03-30 03:24:11.771529,21 days ago ,,https://www.dice.com/company/marlabnj?companyname=Marlabs%20LLC,36
Sales Intern (IT),RisamSoft Inc,"Duration: 3-6 months, with potential for long-term conversion. Job Description: We are a rapidly growing technology company looking for an enthusiastic and driven Sales Intern to join our dynamic sales team. This position offers the opportunity to gain firsthand experience in sales and marketing strategies, customer relationship management, and the fast-paced environment of a tech startup. The ideal candidate is a motivated individual with a passion for technology and an eagerness to learn and c","Dallas, TX, USA",Full-time,Business Analyst Internship,19 days ,2024-04-15 03:24:11.771529,19 days ago ,,https://www.dice.com/company/91112109?companyname=RisamSoft%20Inc,36
ServiceNow Developer,CrackaJack Digital Solutions,"Plano, TX, Columbus, OH & Wilmington, DE Job responsibilities: Executes software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to build solutions or break down technical problems Creates secure and high-quality production code and maintains algorithms that run synchronously with appropriate systems Produces architecture and design artifacts for complex applications while being accountable for ensuring design constrai","Dallas, TX, USA","Contract, Third Party",Business Analyst Internship,1 day ,2024-05-03 03:24:11.771529,,,https://www.dice.com/company/91021502?companyname=CrackaJack%20Digital%20Solutions,36
Sr. Java Developer - Hybrid Role - Dallas/TX,CoppelTech,"Looking for a Mid-Sr level Java developer with atleast 8 years of experience for a Banking Client with following skills :- Responsibilities: Design, develop, and maintain high-quality Java applications and services.Collaborate with product owners, business analysts, and other stakeholders to gather and refine requirements.Translate business requirements into technical specifications and architectural designs.Implement best practices for software development, including code reviews, testing, and","Dallas, TX, USA","Third Party, Contract",Business Analyst Internship,7 days ,2024-04-27 03:24:11.771529,,,https://www.dice.com/company/91141956?companyname=CoppelTech,36
Service Now Developer @W2,Globex IT Solutions INC,"Job Title: Service Now Developer Experience: 6 to 12+ Years Location: Wilmington DE, Columbus OH, Plano TX (Non-Locals are fine for Contractors) Duration: Long Term Job Description: Certifications verified Minimum two (Certification Verification email require from suppliers)Role verified Should be part of core development and Implementation team. Done scripting and Rest API based integrations.Understand converting a Business Requirements to a workflow and implement the same.HR Service Delivery m","Dallas, TX, USA",Full-time,Business Analyst Internship,3 days ,2024-05-01 03:24:11.771529,20 hours ago ,,https://www.dice.com/company/91135097?companyname=Globex%20IT%20Solutions%20INC,36
Fullstack Developer (W2/1099),ResolveTech Solutions Inc.,"5+ years of experience with backend frameworks (node.js, NestJS)5+ years of solid foundation and understanding of relational and NoSQL database principles.5+ years of experience with AWS Cloud Services5+ years of experience in creating API using NodeJS, Python, Java, or Go developing software solutions for real world problems (Recent experience in NodeJS required)5+ years of experience with microservices or SOA Architecture and other design patternsExperience working with Confluent Kafka, Kafka","Dallas, TX, USA",Contract,Business Analyst Internship,29 days ,2024-04-05 03:24:11.771529,,,https://www.dice.com/company/10368525?companyname=ResolveTech%20Solutions%20Inc.,36
