Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Sr. Business Analyst with Operational Risk experience.,"IRIS Software, Inc.","Our Client which is a large Investment Bank is urgently looking to hire a Sr. Business Analyst with Operational Risk experience. Sr. Business Analyst with Operational Risk Multiple Locations - Rutherford, NJ - Irving TX - Tampa, FL Skills - Strong Business Analysis. Good experience with Operational Risk. Good knowledge of Databases. Intermediate Strong SQL Queries. Agile - Required.","Dallas, TX, USA",Full-time,Business Analyst,3 days ,2024-05-01 03:06:52.567964,,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,13
Salesforce BA / Onsite from Day one. NO REMOTE,Marlabs LLC,"Please email me your resumes @  ()or call me on my cell .  Job Title: Salesforce BA / Onsite from Day one. NO REMOTE  Location: Irving, TX- 3 days in office. Duration: 6-12 months Detail Job Description  POSITION SUMMARY Business System Analyst fulfills analyst activities specific to their department that are found in agile and traditional software development and process engineering organization. This role is responsible for leading discrete projects that are focused on creating efficiency with","Dallas, TX, USA","Contract, Third Party",Business Analyst,43 days ,2024-03-22 03:06:52.568964,21 days ago ,,https://www.dice.com/company/marlabnj?companyname=Marlabs%20LLC,13
129813: - Lead Business Analyst,"Key Business Solutions, Inc.","129813: - Lead Business Analyst Remote 12 Months Need 3 Reference at the submission Job Description: This position will require a qualified Technical Business Analyst to take the lead in the following tasks: Ability to create and document detailed business requirements, perform analysis, outlining problems, opportunities and solutions for the stakeholders Author and update internal and external documentation, and formally initiate and deliver requirements and documentation A strong understanding","Dallas, TX, USA","Full-time, Third Party",Business Analyst,4 days ,2024-04-30 03:06:52.569964,,,https://www.dice.com/company/RTL149247?companyname=Key%20Business%20Solutions%2C%20Inc.,13
"(""Business Analysis"" OR ""Product Owner"")",Yom Solutions LLC,"Job Title: Business Analysis / Product Owner Location: Dallas, TX (Hybrid) Duration: 12 Month Job Description: IT Product Owner & BAWork with business requirements, user stories, defect on solutioning and roadmap planning Create functional design documentWork and approve with QA on test scriptsDrive application stability and performance","Dallas, TX, USA",Contract,Business Analyst,4 days ,2024-04-30 03:06:52.569964,21 hours ago ,,https://www.dice.com/company/91143504?companyname=Yom%20Solutions%20LLC,13
Business Analyst Lead with Utilities/Estimation exp,Verism Systems,"MUST HAVE SKILLS: Utilities/Electric/Gas experienceWorking knowledge of estimating Working knowledge of estimating tools (i.e. EES)  Working knowledge of joint pole activities & technology Engineering and Estimating work  Looking for an experienced analyst to support the Service Planning & Design functional area. The candidate will work closely with the business on behalf of IT on multiple, complex technology projects supporting SP&D employees and contractor workforce, especially in the area of","Dallas, TX, USA","Third Party, Contract",Business Analyst,14 days ,2024-04-20 03:06:52.570964,4 days ago ,,https://www.dice.com/company/10123692?companyname=Verism%20Systems,13
"BA with Mortgage - no remote, 3 days in office",Marlabs LLC,"Please email me your resumes @  ()or call me on my cell . Job Title: BA- Mortgage / Onsite from Day one. NO REMOTE  Location: Irving, TX Duration: 6-12 months Detail Job Description: Experience in Mortgage domain mandatory Business System Analyst fulfills analyst activities specific to their department that are found in agile and traditional software development and process engineering organization. This role is responsible for leading discrete projects that are focused on creating efficiency wi","Dallas, TX, USA","Contract, Third Party",Business Analyst,60+ days ,2024-03-05 03:06:52.570964,21 days ago ,,https://www.dice.com/company/marlabnj?companyname=Marlabs%20LLC,13
Peoplesoft Business Analyst,"Manage My Dream, LLC","Position: Peoplesoft Business Analyst Location: Austin, Texas 78744 REMOTE NEED Local candidates to Texas II. CANDIDATE SKILLS AND QUALIFICATIONS Experience as a Business Analyst on PeopleSoft Financials and Supply Chain Management (FSCM) on implementation or upgrade projects Experience as a Business Analyst with PeopleSoft FSCM 9.2 General Ledger and Commitment Accounting. Experience as a Business Analyst in identifying requirements and creating formal functional documents for key business stak","Dallas, TX, USA","Contract, Third Party",Business Analyst,8 days ,2024-04-26 03:06:52.571964,,,https://www.dice.com/company/90979421?companyname=Manage%20My%20Dream%2C%20LLC,13
Sailpoint / OKTA engineer- onsite 3 days in office,Marlabs LLC,"Please email me your resumes @  ()or call me on my cell .  Job Title: Sailpoint / OKTA Engineer/ Hybrid /  Location: Irving, TX 3 days in office Duration: 6-12 months Detail Job Description: The principal (OKTA/Sailpoint) Software Engineer is responsible for identification and development enterprise solutions. 10+ yrs exp needed. Needed locals who can go to office, 3 days a week. RESPONSIBILITIES: Responsible for one or more applications, working with Business Systems Manager and Business Analys","Dallas, TX, USA","Contract, Third Party",Business Analyst,35 days ,2024-03-30 03:06:52.572964,21 days ago ,,https://www.dice.com/company/marlabnj?companyname=Marlabs%20LLC,13
Certified Business Analysis Professional (CBAP) from the International Institute,StackNexus Inc.,Business Analyst A Bachelor s degree. Eight (8) years of IT business analyst experience (meeting the below mandatory requirements) may be substituted for the required education.Certified Business Analysis Professional (CBAP ) from the International Institute of Business Analysis (IIBA) or Project Management Institute Professional in Business Analysis (PMI-PBA)At least eight (8) years of work experience applying analytical processes in Information Technology (IT) Business AnalysisAt least five (5,"Dallas, TX, USA","Contract, Third Party",Business Analyst,2 days ,2024-05-02 03:06:52.572964,,,https://www.dice.com/company/91081606?companyname=StackNexus%20Inc.,13
Sr. Project Manager,"Serenity Info Tech, Inc.","Title: Sr. Project Manager/Scrum Master Location: Remote Job Description: Project Manager It s a blended role with waterfall/mpp experience and managing the scrum team if possible. Scrum Master experience. Someone who can create Jira Epics and stories, help with documentation, and support the team as a scrum master. Someone with hands-on BSA experience moved to an SM role will be a good fit. Managing scope, resources, timelines, costs/budget, quality, communication, and procurements to meet the","Dallas, TX, USA","Contract, Third Party",Business Analyst,11 days ,2024-04-23 03:06:52.573964,20 hours ago ,,https://www.dice.com/company/10118379?companyname=Serenity%20Info%20Tech%2C%20Inc.,13
