Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Adobe Analytics Lead / Digital Analytics Lead - Must have 10+ years of experience,Photon Interactive UK Limited,"Adobe Analytics Lead / Digital Analytics Lead - Must have 10+ years of experience Onsite at Dallas, TX Job Summary: The Adobe Analytics Architecture Lead is a pivotal role, dedicated to driving the implementation and optimization of Adobe Analytics and Adobe Target. This position demands extensive project leadership and a deep understanding of Adobe platforms, aimed at enhancing data collection capabilities and user experience on our e-commerce platform to significantly boost conversions and sal","Dallas, TX, USA","Contract, Third Party",Business Analytics Internship,2 days ,2024-05-02 03:21:26.556371,,,https://www.dice.com/company/10462843?companyname=Photon%20Interactive%20UK%20Limited,28
BI Engineer :: Remote :: W2 Profiles Only,Aorton Inc,"Role : BI Analytics Engineer  Location: Remote Job Description: Six Month Expectations Contribute to the data pipeline process, creating new pipelines that further data availability on our BI platform Take ownership of portions of our data stack Proactively solve issues or errors within the data pipeline Take an active role in designing the future of our data pipeline or BI platforms Collaborate with the team on best practices and overall business strategy Take ownership of data office hours and","Dallas, TX, USA",Contract,Business Analytics Internship,1 day ,2024-05-03 03:21:26.557370,,,https://www.dice.com/company/91140841?companyname=Aorton%20Inc,28
"ServiceNow Architect field service module mandatory , Remote",Spiceorb,"Hi, This is Upasna from Spiceorb.we have opening for Servicenow Architect role.If you are available and interested send your updated resume to  ServiceNow Architect, remote role The ServiceNow Architect plays a critical role in the design, implementation, and optimization of ServiceNow solutions within the organization.This position requires a deep understanding of the ServiceNow platform, IT service management processes, and business requirements to architect solutions that drive efficiency, au","Dallas, TX, USA","Contract, Third Party",Business Analytics Internship,9 days ,2024-04-25 03:21:26.558370,7 days ago ,,https://www.dice.com/company/91109480?companyname=Spiceorb,28
Sales Leader - Insurance,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","Dallas, TX, USA","Full-time, Third Party",Business Analytics Internship,60+ days ,2024-03-05 03:21:26.558370,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,28
SAP MM Functional consultant,Vrddhi Solutions LLC,"Position-SAP MM Functional consultant Location-onsite 2-3 days a week (Northfield) Visa: No OPT CPT Experience: 8+Years Duration-18m-2 years Job Description:  AP MM Functional Consultant Roles & ResponsibilitiesFacilitate the implementation and support of SAP MMPerform detailed analysis of complex business process requirements and provide appropriate system solutions; identify, interpret, validate and document customer requirementsFacilitate workshops to collect business requirementsMap client b","Dallas, TX, USA","Contract, Third Party",Business Analytics Internship,60+ days ,2024-03-05 03:21:26.559371,4 days ago ,,https://www.dice.com/company/91138338?companyname=Vrddhi%20Solutions%20LLC,28
Sales Intern (IT),RisamSoft Inc,"Duration: 3-6 months, with potential for long-term conversion. Job Description: We are a rapidly growing technology company looking for an enthusiastic and driven Sales Intern to join our dynamic sales team. This position offers the opportunity to gain firsthand experience in sales and marketing strategies, customer relationship management, and the fast-paced environment of a tech startup. The ideal candidate is a motivated individual with a passion for technology and an eagerness to learn and c","Dallas, TX, USA",Full-time,Business Analytics Internship,19 days ,2024-04-15 03:21:26.560371,19 days ago ,,https://www.dice.com/company/91112109?companyname=RisamSoft%20Inc,28
Strategic Sales Lead,RisamSoft Inc,"As the Strategic Sales Lead, you will oversee the entire sales cycle, from pipeline creation and opportunity qualification to securing deals with new clients tailored to the industry. Working closely with our leadership, advisory team, and technical experts, you will devise strategies to ensure optimal outcomes throughout the sales process. Key Duties and Responsibilities: Collaborate with leadership, technical teams, and advisors to develop a sales strategy that exceeds targets, builds a robust","Dallas, TX, USA",Full-time,Business Analytics Internship,19 days ,2024-04-15 03:21:26.560371,,,https://www.dice.com/company/91112109?companyname=RisamSoft%20Inc,28
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Dallas, TX, USA",Full-time,Business Analytics Internship,15 days ,2024-04-19 03:21:26.561372,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,28
Sr. Java Developer - Hybrid Role - Dallas/TX,CoppelTech,"Looking for a Mid-Sr level Java developer with atleast 8 years of experience for a Banking Client with following skills :- Responsibilities: Design, develop, and maintain high-quality Java applications and services.Collaborate with product owners, business analysts, and other stakeholders to gather and refine requirements.Translate business requirements into technical specifications and architectural designs.Implement best practices for software development, including code reviews, testing, and","Dallas, TX, USA","Third Party, Contract",Business Analytics Internship,7 days ,2024-04-27 03:21:26.562378,,,https://www.dice.com/company/91141956?companyname=CoppelTech,28
Teradata Data Analyst - W2 Only - HYBRID,"Mitchell Martin, Inc.","Teradata Data Analyst - W2 Only - HYBRID Location: Dallas, TX Duration: 12 Months +  W2 Only Hybrid Only in Dallas Metro, TX Data Analysis: Analyze data to detect suspicious activities and transactions using advanced analytics techniques. Develop data-driven models to identify patterns indicative of financial crimes. Reporting and Visualization: Generate reports and dashboards to communicate findings to stakeholders. Design interactive data visualizations to enhance understanding of financial cr","Dallas, TX, USA",Contract,Business Analytics Internship,15 days ,2024-04-19 03:21:26.562378,4 days ago ,,https://www.dice.com/company/mitchmar2?companyname=Mitchell%20Martin%2C%20Inc.,28
