Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Dallas, TX, USA",Full-time,Data Analytics Internship,15 days ,2024-04-19 03:18:35.919517,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,35
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","Dallas, TX, USA",Contract,Data Analytics Internship,31 days ,2024-04-03 03:18:35.919517,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,35
Adobe Analytics Lead / Digital Analytics Lead - Must have 10+ years of experience,Photon Interactive UK Limited,"Adobe Analytics Lead / Digital Analytics Lead - Must have 10+ years of experience Onsite at Dallas, TX Job Summary: The Adobe Analytics Architecture Lead is a pivotal role, dedicated to driving the implementation and optimization of Adobe Analytics and Adobe Target. This position demands extensive project leadership and a deep understanding of Adobe platforms, aimed at enhancing data collection capabilities and user experience on our e-commerce platform to significantly boost conversions and sal","Dallas, TX, USA","Contract, Third Party",Data Analytics Internship,2 days ,2024-05-02 03:18:35.919517,,,https://www.dice.com/company/10462843?companyname=Photon%20Interactive%20UK%20Limited,35
Remote Predictive Analytics Snowflake Integration consultant Part Time or Full time,CapB InfoteK LLC,"CapB is seeking a Predictive Analytics Snowflake Integration consultants for its ongoing project. the project is 100% remote and can be done on Full time or Part time basis. The consultant on this project will connect existing code to a new cloud-based warehouse.  Currently, existing analytic code is connected to legacy, on-prem warehouses.  Responsibilities will include but not be limited to:  Write associated SQL queries to support two-way communication for 2 statistical models written in R to","Dallas, TX, USA","Contract, Third Party",Data Analytics Internship,39 days ,2024-03-26 03:18:35.919517,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,35
Data Governance Engineer,"InnoCore Solutions, Inc.","Responsibilities: Work closely with source data application teams and product owners to design, implement and support analytics and data governance solutions that provide insights to make better decisions. Administer and Support one or more Data Governance platforms for Marketplace, Stewardship, Catalog, Quality and Literacy. Support the research, review, recommendation, purchase, installation, and buildout of new software for Data Quality, Observability and Data Access Management software. Supp","Dallas, TX, USA",Contract,Data Analytics Internship,2 days ,2024-05-02 03:18:35.919517,22 hours ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,35
BI Engineer :: Remote :: W2 Profiles Only,Aorton Inc,"Role : BI Analytics Engineer  Location: Remote Job Description: Six Month Expectations Contribute to the data pipeline process, creating new pipelines that further data availability on our BI platform Take ownership of portions of our data stack Proactively solve issues or errors within the data pipeline Take an active role in designing the future of our data pipeline or BI platforms Collaborate with the team on best practices and overall business strategy Take ownership of data office hours and","Dallas, TX, USA",Contract,Data Analytics Internship,1 day ,2024-05-03 03:18:35.919517,,,https://www.dice.com/company/91140841?companyname=Aorton%20Inc,35
Teradata Data Analyst - W2 Only - HYBRID,"Mitchell Martin, Inc.","Teradata Data Analyst - W2 Only - HYBRID Location: Dallas, TX Duration: 12 Months +  W2 Only Hybrid Only in Dallas Metro, TX Data Analysis: Analyze data to detect suspicious activities and transactions using advanced analytics techniques. Develop data-driven models to identify patterns indicative of financial crimes. Reporting and Visualization: Generate reports and dashboards to communicate findings to stakeholders. Design interactive data visualizations to enhance understanding of financial cr","Dallas, TX, USA",Contract,Data Analytics Internship,15 days ,2024-04-19 03:18:35.919517,4 days ago ,,https://www.dice.com/company/mitchmar2?companyname=Mitchell%20Martin%2C%20Inc.,35
Sr. Azure Data Engineer,"InnoCore Solutions, Inc.","Responsibilities: Implement data migration and data engineering solutions using Azure products and services: (Azure Data Lake Storage, Azure Data Factory, Azure Functions, Event Hub, Azure Stream Analytics, Azure Databricks, etc.) and traditional data warehouse toolsPerform multiple aspects involved in the development lifecycle design, cloud engineering (Infrastructure, network, security, and administration), ingestion, preparation, data modeling, testing, CICD pipelines, performance tuning, dep","Dallas, TX, USA",Contract,Data Analytics Internship,4 days ,2024-04-30 03:18:35.919517,1 day ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,35
Google Cloud Platform Data Architect,DVG Tech Solutions LLC,"Job Description: The Role We seek an experienced Google Cloud Platform Data Architect to shape and lead our data architecture and analytics initiatives on the Google Cloud Platform. You'll work closely with cross-functional teams to design scalable data solutions, optimize data pipelines, and enable data-driven decision-making across the organization. Key Responsibilities:  Architecture Design: Craft scalable and reliable data architectures on Google Cloud Platform, encompassing data ingestion,","Dallas, TX, USA","Third Party, Contract",Data Analytics Internship,10 days ,2024-04-24 03:18:35.919517,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,35
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","Dallas, TX, USA",Contract,Data Analytics Internship,17 hours ,2024-05-03 10:18:35.919517,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,35
ITSM CMDB / Data Analysis expertise- 100% Remote role - Canada/LATAM Based,Acnovate Business Solutions Inc.,"ITSM CMDB / Data Analysis expertise 100% Remote (Near Shore - Canada/Latin America) Long term Contract Job Description: Configuration Management Database (CMDB) Maintenance: The Asset and Configuration Manager is responsible for managing and maintaining the CMDB in ServiceNow. This involves ensuring accurate and up-to-date information about all configuration items (CIs) within the IT infrastructure, including hardware, software, and other assets. Configuration Identification: Working with differ","Dallas, TX, USA","Contract, Third Party",Data Analytics Internship,37 days ,2024-03-28 03:18:35.919517,20 hours ago ,,https://www.dice.com/company/10127360?companyname=Acnovate%20Business%20Solutions%20Inc.,35
Power BI Developer,Symphony Corporation,"Responsibilities: Quickly assimilate and extract relevant supply chain data from our extensive data lake.Develop, design, and maintain advanced Power BI reports and dashboards specific to supply chain metrics.Utilize complex data sources in a Supply Chain context, including but not limited to inventory levels, logistics performance, and vendor management.Transform raw data into meaningful insights through engaging visuals and interactive reports.Work closely with Supply Chain stakeholders to ide","Dallas, TX, USA",Contract,Data Analytics Internship,14 days ,2024-04-20 03:18:35.919517,,,https://www.dice.com/company/10115170?companyname=Symphony%20Corporation,35
Residential Solutions Architect,Computomic,"Role: Resident Solution Architect (RSA) Experience: 10+ years years consulting, 7+ years in data engineering Location: London /Remote. United Kingdom Background: Computomic was founded in 2019 with a vision to design and deploy mission critical and highly differentiated Data & AI solutions for companies looking to migrate their data stack from legacy data platforms such as Teradata, Cloudera, Datastage and Informatica to modern data platforms like Databricks. Over the last few years, we have bec","Dallas, TX, USA",Contract,Data Analytics Internship,38 days ,2024-03-27 03:18:35.919517,23 days ago ,,https://www.dice.com/company/91129876?companyname=Computomic,35
Data Science with ML,Astir IT Solutions,"Experience with Machine Learning, Data Science, Data Engineering principles and technologies such as R, Python, SQL. Experience delivering and managing AI/ML based software products. Experience with agile software development methodology. Proven experience with data engineering and ETL techniques using data from a wide variety of data sources. Rigorous understanding of statistics/machine learning and ability to discern appropriate analytics techniques to problem-solve. Knowledge of data warehous","Dallas, TX, USA",Contract,Data Analytics Internship,45 days ,2024-03-20 03:18:35.919517,12 hours ago ,,https://www.dice.com/company/10110032?companyname=Astir%20IT%20Solutions,35
IBM Datacap Developer,P2PSoftTek Inc,"IBM Datacap Developer Remote Role Description : Collaborate with stakeholders to gather and analyze business requirements for document capture and data extraction processes.Design and architect IBM Datacap, AWS Textract solutions to meet business needs, including document classification, data extraction, and workflow automation.Develop and customize IBM Datacap, AWS Textract applications flows, modules, and components using Datacap Studio, Datacap Navigator, and other tools.Configure and optimiz","Dallas, TX, USA","Contract, Third Party",Data Analytics Internship,24 days ,2024-04-10 03:18:35.919517,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,35
ETL ODI Developer,P2PSoftTek Inc,"ETL ODI Developer Remote Role  Description  ODI Experience Proficient in PL SQL, Oracle SQL Plusses SSIS experience - OBI: Operations business intelligence - Data analytics/data science - Business IT unit - Why? We sit in business and provide analytics solution to the business - Most of work supports electric ops and working with field crews, office, working with EMS data, ATMS, GIS, SAP, all sorts of data sets 70 different data sets analytics on data - Oracle based technology stack - Solutions","Dallas, TX, USA","Contract, Third Party",Data Analytics Internship,60+ days ,2024-03-05 03:18:35.919517,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,35
Enterprise Data Speclialist,Genome International Corp,"looking for a contractor to provide Data Governance services in support of the Statewide Longitudinal Data Systems (SLDS) federal grant efforts. CDE received the grant award in 2020, and it will continue through February 2025. The early years of the grant focused on two use case areas, Adult Education (AE) and Concurrent Enrollment (CE). There is a significant technology component to this grant effort, CDE already has data-linking technology in place and part of the grant commitment is to modern","Dallas, TX, USA",Contract,Data Analytics Internship,44 days ,2024-03-21 03:18:35.919517,1 day ago ,,https://www.dice.com/company/genwi001?companyname=Genome%20International%20Corp,35
Consulting Director - Digital Transformation (remote),RedRiver Systems L.L.C.,"Great opportunity within growing international company developing state-of-the-art products supporting IoT and communication systems worldwide. This is a hands-on opportunity working with customers creating Digital Transformation solutions to drive their Overall Equipment Effectiveness. RESPONSIBILITIES Identify, prioritize, frame and structure complex and ambiguous challenges to help clients build realistic and scalable digital strategies that meet their company specific needs.Lead Digital Tran","Dallas, TX, USA",Full-time,Data Analytics Internship,9 days ,2024-04-25 03:18:35.934872,20 hours ago ,,https://www.dice.com/company/10122941?companyname=RedRiver%20Systems%20L.L.C.,35
Test Do Not Apply - Senior Full Stack Developer,Dice US Sales Demo Account,"Job Type: Full-time Location: Greenwood Village, Colorado We are seeking an experienced Senior Full Stack Developer to join our dynamic team. The successful candidate will be responsible for developing, maintaining, and enhancing web applications that meet the needs of our clients. As a Senior Full Stack Developer, you will work closely with our cross-functional teams to ensure that our products are delivered on time, within budget, and to the highest quality standards. Responsibilities: Develop","Dallas, TX, USA",Full-time,Data Analytics Internship,18 days ,2024-04-16 03:18:35.935567,4 days ago ,,https://www.dice.com/company/dicedemo?companyname=Dice%20US%20Sales%20Demo%20Account,35
Data Engineer (8 Openings),Trigint Solutions,"Required Skills:  +10 years in Data Engineering and Analytics Expertise in data analytical skills and handling big data along with real time streaming. Graph Ontology and semantic modeling with GraphQL or SPARQL experience is a must Proactive, self-driven, works independently and collaborates well. Expertise in Python, Pyspark Use of databricks is a must.","Dallas, TX, USA",Contract,Data Analytics Internship,2 days ,2024-05-02 03:18:35.936362,,,https://www.dice.com/company/90999304?companyname=Trigint%20Solutions,35
