Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Adobe Analytics Lead / Digital Analytics Lead - Must have 10+ years of experience,Photon Interactive UK Limited,"Adobe Analytics Lead / Digital Analytics Lead - Must have 10+ years of experience Onsite at Dallas, TX Job Summary: The Adobe Analytics Architecture Lead is a pivotal role, dedicated to driving the implementation and optimization of Adobe Analytics and Adobe Target. This position demands extensive project leadership and a deep understanding of Adobe platforms, aimed at enhancing data collection capabilities and user experience on our e-commerce platform to significantly boost conversions and sal","Dallas, TX, USA","Contract, Third Party",Data Analytics,2 days ,2024-05-02 03:00:56.945539,,,https://www.dice.com/company/10462843?companyname=Photon%20Interactive%20UK%20Limited,138
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","Dallas, TX, USA",Contract,Data Analytics,31 days ,2024-04-03 03:00:56.946565,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,138
Data Governance Engineer,"InnoCore Solutions, Inc.","Responsibilities: Work closely with source data application teams and product owners to design, implement and support analytics and data governance solutions that provide insights to make better decisions. Administer and Support one or more Data Governance platforms for Marketplace, Stewardship, Catalog, Quality and Literacy. Support the research, review, recommendation, purchase, installation, and buildout of new software for Data Quality, Observability and Data Access Management software. Supp","Dallas, TX, USA",Contract,Data Analytics,2 days ,2024-05-02 03:00:56.947077,21 hours ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,138
Sr. Azure Data Engineer,"InnoCore Solutions, Inc.","Responsibilities: Implement data migration and data engineering solutions using Azure products and services: (Azure Data Lake Storage, Azure Data Factory, Azure Functions, Event Hub, Azure Stream Analytics, Azure Databricks, etc.) and traditional data warehouse toolsPerform multiple aspects involved in the development lifecycle design, cloud engineering (Infrastructure, network, security, and administration), ingestion, preparation, data modeling, testing, CICD pipelines, performance tuning, dep","Dallas, TX, USA",Contract,Data Analytics,4 days ,2024-04-30 03:00:56.947590,1 day ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,138
Remote Predictive Analytics Snowflake Integration consultant Part Time or Full time,CapB InfoteK LLC,"CapB is seeking a Predictive Analytics Snowflake Integration consultants for its ongoing project. the project is 100% remote and can be done on Full time or Part time basis. The consultant on this project will connect existing code to a new cloud-based warehouse.  Currently, existing analytic code is connected to legacy, on-prem warehouses.  Responsibilities will include but not be limited to:  Write associated SQL queries to support two-way communication for 2 statistical models written in R to","Dallas, TX, USA","Contract, Third Party",Data Analytics,39 days ,2024-03-26 03:00:56.948103,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,138
BI Engineer :: Remote :: W2 Profiles Only,Aorton Inc,"Role : BI Analytics Engineer  Location: Remote Job Description: Six Month Expectations Contribute to the data pipeline process, creating new pipelines that further data availability on our BI platform Take ownership of portions of our data stack Proactively solve issues or errors within the data pipeline Take an active role in designing the future of our data pipeline or BI platforms Collaborate with the team on best practices and overall business strategy Take ownership of data office hours and","Dallas, TX, USA",Contract,Data Analytics,1 day ,2024-05-03 03:00:56.949128,,,https://www.dice.com/company/91140841?companyname=Aorton%20Inc,138
Teradata Data Analyst - W2 Only - HYBRID,"Mitchell Martin, Inc.","Teradata Data Analyst - W2 Only - HYBRID Location: Dallas, TX Duration: 12 Months +  W2 Only Hybrid Only in Dallas Metro, TX Data Analysis: Analyze data to detect suspicious activities and transactions using advanced analytics techniques. Develop data-driven models to identify patterns indicative of financial crimes. Reporting and Visualization: Generate reports and dashboards to communicate findings to stakeholders. Design interactive data visualizations to enhance understanding of financial cr","Dallas, TX, USA",Contract,Data Analytics,15 days ,2024-04-19 03:00:56.949640,4 days ago ,,https://www.dice.com/company/mitchmar2?companyname=Mitchell%20Martin%2C%20Inc.,138
Data Discovery (BigID) Engineer,"InnoCore Solutions, Inc.","The Data Discovery (BigID) engineer will work as part of the Asset Discovery team to roll out BigID across our client organization. This individual will work with Data Discovery analysts and enterprise platform teams to scan enterprise structured and unstructured data sources, assess data classification and collaborate with the Data Governance team. Requirements: Experience in data discovery/governance technologies such as BigID, Informatica, etc. Experience in Data management disciplines such a","Dallas, TX, USA",Contract,Data Analytics,2 days ,2024-05-02 03:00:56.950152,21 hours ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,138
SAP Master Data Governance Consultant Functional Expert,Tek Inspirations LLC,"Job Description - Job Title: SAP Master Data Governance Consultant Functional Expert Job Type:  Contract- 12+ months  Duration:  Starting ASAP and going through June 28th, 2024 there is a slight possibility that the project could be extended should the Proof of Concept go well and the project be extended, but not guaranteed What is key to do- This will be a project in which the resources will be creating a POC Proof of Concept for the end client, and will kick off ASAP and run through the middle","Dallas, TX, USA","Contract, Third Party",Data Analytics,1 day ,2024-05-03 03:00:56.951177,1 day ago ,,https://www.dice.com/company/91099133?companyname=Tek%20Inspirations%20LLC,138
Profisee MDM Engineer,Fusion Global Solutions,"Responsibilities: Participate in JAD, workshops and/or business requirements sessions to understand, identify and detail MDM requirements and key criteriaWork with stakeholders in gathering the Match & Merge rules, develop & configure trust matrix, match path, match columns, match rules (Exact and Fuzzy) and data stewardship workflowsFind gaps and data anomalies and review the same with stakeholders for approval and identify next stepsDevelop and execute data profiling, data quality analysis and","Dallas, TX, USA","Contract, Third Party",Data Analytics,10 days ,2024-04-24 03:00:56.951689,,,https://www.dice.com/company/91122985?companyname=Fusion%20Global%20Solutions,138
