Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Data Engineer (8 Openings),Trigint Solutions,"Required Skills:  +10 years in Data Engineering and Analytics Expertise in data analytical skills and handling big data along with real time streaming. Graph Ontology and semantic modeling with GraphQL or SPARQL experience is a must Proactive, self-driven, works independently and collaborates well. Expertise in Python, Pyspark Use of databricks is a must.","Dallas, TX, USA",Contract,Data Engineer Internship,2 days ,2024-05-02 03:15:44.029668,,,https://www.dice.com/company/90999304?companyname=Trigint%20Solutions,49
Data Discovery (BigID) Engineer,"InnoCore Solutions, Inc.","The Data Discovery (BigID) engineer will work as part of the Asset Discovery team to roll out BigID across our client organization. This individual will work with Data Discovery analysts and enterprise platform teams to scan enterprise structured and unstructured data sources, assess data classification and collaborate with the Data Governance team. Requirements: Experience in data discovery/governance technologies such as BigID, Informatica, etc. Experience in Data management disciplines such a","Dallas, TX, USA",Contract,Data Engineer Internship,2 days ,2024-05-02 03:15:44.030669,22 hours ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,49
Data Governance Engineer,"InnoCore Solutions, Inc.","Responsibilities: Work closely with source data application teams and product owners to design, implement and support analytics and data governance solutions that provide insights to make better decisions. Administer and Support one or more Data Governance platforms for Marketplace, Stewardship, Catalog, Quality and Literacy. Support the research, review, recommendation, purchase, installation, and buildout of new software for Data Quality, Observability and Data Access Management software. Supp","Dallas, TX, USA",Contract,Data Engineer Internship,2 days ,2024-05-02 03:15:44.030669,22 hours ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,49
Sr. Azure Data Engineer,"InnoCore Solutions, Inc.","Responsibilities: Implement data migration and data engineering solutions using Azure products and services: (Azure Data Lake Storage, Azure Data Factory, Azure Functions, Event Hub, Azure Stream Analytics, Azure Databricks, etc.) and traditional data warehouse toolsPerform multiple aspects involved in the development lifecycle design, cloud engineering (Infrastructure, network, security, and administration), ingestion, preparation, data modeling, testing, CICD pipelines, performance tuning, dep","Dallas, TX, USA",Contract,Data Engineer Internship,4 days ,2024-04-30 03:15:44.031669,1 day ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,49
Azure Data Engineer with Talend,StratG Inc,"Stratg Inc is looking for Azure Data engineer for our Direct Client in New York/New Jersey, Please share suitable profiles. Title: Azure Data engineer with Talend Location: NY/NJ Duration:  Longterm JD: -Strong Experience in Azure Data Engineer. -Strong ETL experience  -Talend Experience -Good Knowledge in Basic Java Interested People please share resume on my email  or you can reach me at","Dallas, TX, USA","Third Party, Contract",Data Engineer Internship,17 days ,2024-04-17 03:15:44.032669,,,https://www.dice.com/company/91138575?companyname=StratG%20Inc,49
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Dallas, TX, USA",Full-time,Data Engineer Internship,15 days ,2024-04-19 03:15:44.032669,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,49
Lead Data Engineer with Palantir Foundry,Info Dinamica Inc,"Lead Data Engineer with Palantir Foundry - Remote NOTE - The consultant Needs to work In Europe Time Zone Total experience of 7+ years in Data Engineering and must have at least 3 years of experience in Palantir Foundry. Strong experience with Palantir Data Engineering features such as, Code Repo, Code Workbook, Pipeline Build, migration techniques, Data Connection and Security setup.Design, develop Data Pipelines, and have excellent skills in PySpark and Spark SQL, hands on with code Build and","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,29 days ,2024-04-05 03:15:44.033646,17 days ago ,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,49
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","Dallas, TX, USA",Contract,Data Engineer Internship,31 days ,2024-04-03 03:15:44.034646,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,49
Neo4j Data Engineer,Incedo Inc,"Position: Neo4j Data Engineer Location: Pittsburgh, PA (Remote) Duration: Full time Qualifications Minimum 3+ years of working experience with knowledge graphs/graph databasesExpertise with Graph database technology especially Neo4JExpertise with Python, and related software engineering platforms/frameworksExperience in designing and building highly scalable Knowledge Graphs in productionExperience developing APIs leveraging knowledge graph dataExperience with querying knowledge graphs using a g","Dallas, TX, USA",Full-time,Data Engineer Internship,3 days ,2024-05-01 03:15:44.034646,,,https://www.dice.com/company/10476889?companyname=Incedo%20Inc,49
AWS Data Engineer -Remote,Cyma Systems Inc,"Title:  AWS EngineerLocation:  Remote Duration: 6+months . We re Looking for: Minimum 7 years of progressively responsible work experience in Data Engineering , architecture, design and development. Minimum 5 years of experience with ETL/ELT design and development using tools like IICS, AWS Glue, Talend, Databricks, Oracle Data Integrator (ODI) or equivalent.  Minimum 5 years of experience in database architecture using relational SQL (e.g. Snowflake, Oracle, PostgreSQL, MySQL), and NoSQL (Dynam","Dallas, TX, USA",Contract,Data Engineer Internship,23 days ,2024-04-11 03:15:44.035646,13 hours ago ,,https://www.dice.com/company/RTL327349?companyname=Cyma%20Systems%20Inc,49
