Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Dallas, TX, USA",Full-time,Data Internship Internship,15 days ,2024-04-19 03:29:57.949886,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,23
IBM Datacap Developer,P2PSoftTek Inc,"IBM Datacap Developer Remote Role Description : Collaborate with stakeholders to gather and analyze business requirements for document capture and data extraction processes.Design and architect IBM Datacap, AWS Textract solutions to meet business needs, including document classification, data extraction, and workflow automation.Develop and customize IBM Datacap, AWS Textract applications flows, modules, and components using Datacap Studio, Datacap Navigator, and other tools.Configure and optimiz","Dallas, TX, USA","Contract, Third Party",Data Internship Internship,24 days ,2024-04-10 03:29:57.950886,20 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,23
Enterprise Data Speclialist,Genome International Corp,"looking for a contractor to provide Data Governance services in support of the Statewide Longitudinal Data Systems (SLDS) federal grant efforts. CDE received the grant award in 2020, and it will continue through February 2025. The early years of the grant focused on two use case areas, Adult Education (AE) and Concurrent Enrollment (CE). There is a significant technology component to this grant effort, CDE already has data-linking technology in place and part of the grant commitment is to modern","Dallas, TX, USA",Contract,Data Internship Internship,44 days ,2024-03-21 03:29:57.950886,1 day ago ,,https://www.dice.com/company/genwi001?companyname=Genome%20International%20Corp,23
Test Do Not Apply - Senior Full Stack Developer,Dice US Sales Demo Account,"Job Type: Full-time Location: Greenwood Village, Colorado We are seeking an experienced Senior Full Stack Developer to join our dynamic team. The successful candidate will be responsible for developing, maintaining, and enhancing web applications that meet the needs of our clients. As a Senior Full Stack Developer, you will work closely with our cross-functional teams to ensure that our products are delivered on time, within budget, and to the highest quality standards. Responsibilities: Develop","Dallas, TX, USA",Full-time,Data Internship Internship,18 days ,2024-04-16 03:29:57.951877,4 days ago ,,https://www.dice.com/company/dicedemo?companyname=Dice%20US%20Sales%20Demo%20Account,23
ServiceNow Developer,CrackaJack Digital Solutions,"Plano, TX, Columbus, OH & Wilmington, DE Job responsibilities: Executes software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to build solutions or break down technical problems Creates secure and high-quality production code and maintains algorithms that run synchronously with appropriate systems Produces architecture and design artifacts for complex applications while being accountable for ensuring design constrai","Dallas, TX, USA","Contract, Third Party",Data Internship Internship,1 day ,2024-05-03 03:29:57.952886,,,https://www.dice.com/company/91021502?companyname=CrackaJack%20Digital%20Solutions,23
ServiceNow Developer,Info Dinamica Inc,"Must Have:  Certifications verified Minimum two (Certification Verification email require from suppliers)Role verified Should be part of core development and Implementation team. Done scripting and Rest API based integrations.Understand converting a Business Requirements to a workflow and implement the same.HR Service Delivery module experienceService portal experience.Job responsibilities Executes software solutions, design, development, and technical troubleshooting with ability to think beyon","Dallas, TX, USA",Contract,Data Internship Internship,3 days ,2024-05-01 03:29:57.952886,,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,23
Sales Intern (IT),RisamSoft Inc,"Duration: 3-6 months, with potential for long-term conversion. Job Description: We are a rapidly growing technology company looking for an enthusiastic and driven Sales Intern to join our dynamic sales team. This position offers the opportunity to gain firsthand experience in sales and marketing strategies, customer relationship management, and the fast-paced environment of a tech startup. The ideal candidate is a motivated individual with a passion for technology and an eagerness to learn and c","Dallas, TX, USA",Full-time,Data Internship Internship,19 days ,2024-04-15 03:29:57.953886,19 days ago ,,https://www.dice.com/company/91112109?companyname=RisamSoft%20Inc,23
Fullstack Developer (W2/1099),ResolveTech Solutions Inc.,"5+ years of experience with backend frameworks (node.js, NestJS)5+ years of solid foundation and understanding of relational and NoSQL database principles.5+ years of experience with AWS Cloud Services5+ years of experience in creating API using NodeJS, Python, Java, or Go developing software solutions for real world problems (Recent experience in NodeJS required)5+ years of experience with microservices or SOA Architecture and other design patternsExperience working with Confluent Kafka, Kafka","Dallas, TX, USA",Contract,Data Internship Internship,29 days ,2024-04-05 03:29:57.953886,,,https://www.dice.com/company/10368525?companyname=ResolveTech%20Solutions%20Inc.,23
Service Now Developer @W2,Globex IT Solutions INC,"Job Title: Service Now Developer Experience: 6 to 12+ Years Location: Wilmington DE, Columbus OH, Plano TX (Non-Locals are fine for Contractors) Duration: Long Term Job Description: Certifications verified Minimum two (Certification Verification email require from suppliers)Role verified Should be part of core development and Implementation team. Done scripting and Rest API based integrations.Understand converting a Business Requirements to a workflow and implement the same.HR Service Delivery m","Dallas, TX, USA",Full-time,Data Internship Internship,3 days ,2024-05-01 03:29:57.954886,20 hours ago ,,https://www.dice.com/company/91135097?companyname=Globex%20IT%20Solutions%20INC,23
Pear Script Developer,SelSoft Inc.,"Hi Thara, Greetings from Selsoft Inc!! Role: Perl Script developer Location: Plano, TX (Day 1 Onsite) Duration: Contract Looking for 6-8 Yrs of Perl/Shell Scripting development experience. Participating in planning the software architecture of new systems spanning multiple teams and platforms Unix or Linux command Line Deliver high quality, scalable code to solve both tactical and strategic problems. Analysis of requirements, high level and detailed design, integration, and implementation activi","Dallas, TX, USA","Third Party, Contract",Data Internship Internship,7 days ,2024-04-27 03:29:57.955886,,,https://www.dice.com/company/10307276?companyname=SelSoft%20Inc.,23
Sr. Java Developer - Hybrid Role - Dallas/TX,CoppelTech,"Looking for a Mid-Sr level Java developer with atleast 8 years of experience for a Banking Client with following skills :- Responsibilities: Design, develop, and maintain high-quality Java applications and services.Collaborate with product owners, business analysts, and other stakeholders to gather and refine requirements.Translate business requirements into technical specifications and architectural designs.Implement best practices for software development, including code reviews, testing, and","Dallas, TX, USA","Third Party, Contract",Data Internship Internship,7 days ,2024-04-27 03:29:57.955886,,,https://www.dice.com/company/91141956?companyname=CoppelTech,23
Sr Java Developer,Caprus IT Inc.,"Job Title: Sr. Java Developer or Full Stack Java/React developer. Location: Frisco, TX (Onsite) Duration: Contract (W2) / Fulltime 10+ Years of IT Experience is must  Roles and Responsibilities Writing well-designed, testable, and efficient code.Providing code documentation and other inputs to technical documents.Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.Troubleshooting and debugging to optimize performance.","Dallas, TX, USA",Full-time,Data Internship Internship,16 days ,2024-04-18 03:29:57.956886,14 hours ago ,,https://www.dice.com/company/10297302?companyname=Caprus%20IT%20Inc.,23
Lead Salesforce Developer,Incedo Inc,"Position: Salesforce Technical Lead  Location: Pittsburgh, PA (remote) Duration: Full time As a Salesforce Lead with expertise in Experience Cloud, Service Cloud, and Marketing Cloud, you will play a critical role in the design, development, and maintenance of our client s Salesforce ecosystem. Must have experience in working with globally distributed teams and agile delivery. You will collaborate with cross-functional teams to implement and optimize solutions that enhance customer experiences,","Dallas, TX, USA",Full-time,Data Internship Internship,3 days ,2024-05-01 03:29:57.957886,,,https://www.dice.com/company/10476889?companyname=Incedo%20Inc,23
