Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Data Scientist with Gen AI,Photon Interactive UK Limited,"Responsibilities: Hands on with LLMs (In previous projects) and worked on product development using LLMsExperience with Chat, IVR, Banking will be plusExp with Speech to Text using Whisper/Google TTS etc.,Handson experience with Vector Database & Graph DB (Pinecone, Milvus, Neo4j)Good understanding and experience using Transformer/Neural Network modelHands on experience using Open AI APIs, Open Source LLMs (Llama2, Mistral, Mixtral etc.,)Solid understanding on framework like Langchain, Haystack","Dallas, TX, USA",Full-time,Data Scientist,1 day ,2024-05-03 03:09:46.519851,,,https://www.dice.com/company/10462843?companyname=Photon%20Interactive%20UK%20Limited,135
Data Scientist Mid,ResolveTech Solutions Inc.,"Data Scientist MidIrving - TX (onsite from day-1) Key Responsibilities: Research, prototype, and develop algorithms and solutions to solve problems across retail. Work with tabular customer and transaction data to produce insights and analysis. Stay up to date with emerging technologies and learn new techniques/libraries/frameworks. Build and deploy algorithms and statistical solutions into production ready systems. Deliver on time with a high bar on quality of research, innovation, and engineer","Dallas, TX, USA",Contract,Data Scientist,8 days ,2024-04-26 03:09:46.520865,,,https://www.dice.com/company/10368525?companyname=ResolveTech%20Solutions%20Inc.,135
Data Scienctist,ResolveTech Solutions Inc.,"Key Responsibilities: Research, prototype, and develop algorithms and solutions to solve problems across retail.Work with tabular customer and transaction data to produce insights and analysis.Stay up to date with emerging technologies and learn new techniques/libraries/frameworks.Build and deploy algorithms and statistical solutions into production ready systems.Deliver on time with a high bar on quality of research, innovation, and engineering.  Basic Qualifications: Strong knowledge of the fu","Dallas, TX, USA",Full-time,Data Scientist,8 days ,2024-04-26 03:09:46.520865,,,https://www.dice.com/company/10368525?companyname=ResolveTech%20Solutions%20Inc.,135
Data Discovery (BigID) Engineer,"InnoCore Solutions, Inc.","The Data Discovery (BigID) engineer will work as part of the Asset Discovery team to roll out BigID across our client organization. This individual will work with Data Discovery analysts and enterprise platform teams to scan enterprise structured and unstructured data sources, assess data classification and collaborate with the Data Governance team. Requirements: Experience in data discovery/governance technologies such as BigID, Informatica, etc. Experience in Data management disciplines such a","Dallas, TX, USA",Contract,Data Scientist,2 days ,2024-05-02 03:09:46.521853,22 hours ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,135
SAP Master Data Governance Consultant Functional Expert,Tek Inspirations LLC,"Job Description - Job Title: SAP Master Data Governance Consultant Functional Expert Job Type:  Contract- 12+ months  Duration:  Starting ASAP and going through June 28th, 2024 there is a slight possibility that the project could be extended should the Proof of Concept go well and the project be extended, but not guaranteed What is key to do- This will be a project in which the resources will be creating a POC Proof of Concept for the end client, and will kick off ASAP and run through the middle","Dallas, TX, USA","Contract, Third Party",Data Scientist,1 day ,2024-05-03 03:09:46.522855,1 day ago ,,https://www.dice.com/company/91099133?companyname=Tek%20Inspirations%20LLC,135
Profisee MDM Engineer,Fusion Global Solutions,"Responsibilities: Participate in JAD, workshops and/or business requirements sessions to understand, identify and detail MDM requirements and key criteriaWork with stakeholders in gathering the Match & Merge rules, develop & configure trust matrix, match path, match columns, match rules (Exact and Fuzzy) and data stewardship workflowsFind gaps and data anomalies and review the same with stakeholders for approval and identify next stepsDevelop and execute data profiling, data quality analysis and","Dallas, TX, USA","Contract, Third Party",Data Scientist,10 days ,2024-04-24 03:09:46.522855,,,https://www.dice.com/company/91122985?companyname=Fusion%20Global%20Solutions,135
Teradata Data Analyst - W2 Only - HYBRID,"Mitchell Martin, Inc.","Teradata Data Analyst - W2 Only - HYBRID Location: Dallas, TX Duration: 12 Months +  W2 Only Hybrid Only in Dallas Metro, TX Data Analysis: Analyze data to detect suspicious activities and transactions using advanced analytics techniques. Develop data-driven models to identify patterns indicative of financial crimes. Reporting and Visualization: Generate reports and dashboards to communicate findings to stakeholders. Design interactive data visualizations to enhance understanding of financial cr","Dallas, TX, USA",Contract,Data Scientist,15 days ,2024-04-19 03:09:46.523866,4 days ago ,,https://www.dice.com/company/mitchmar2?companyname=Mitchell%20Martin%2C%20Inc.,135
Data Governance Engineer,"InnoCore Solutions, Inc.","Responsibilities: Work closely with source data application teams and product owners to design, implement and support analytics and data governance solutions that provide insights to make better decisions. Administer and Support one or more Data Governance platforms for Marketplace, Stewardship, Catalog, Quality and Literacy. Support the research, review, recommendation, purchase, installation, and buildout of new software for Data Quality, Observability and Data Access Management software. Supp","Dallas, TX, USA",Contract,Data Scientist,2 days ,2024-05-02 03:09:46.524852,22 hours ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,135
Sr. Azure Data Engineer,"InnoCore Solutions, Inc.","Responsibilities: Implement data migration and data engineering solutions using Azure products and services: (Azure Data Lake Storage, Azure Data Factory, Azure Functions, Event Hub, Azure Stream Analytics, Azure Databricks, etc.) and traditional data warehouse toolsPerform multiple aspects involved in the development lifecycle design, cloud engineering (Infrastructure, network, security, and administration), ingestion, preparation, data modeling, testing, CICD pipelines, performance tuning, dep","Dallas, TX, USA",Contract,Data Scientist,4 days ,2024-04-30 03:09:46.524852,1 day ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,135
Technical Business Data Analyst - Banking - W2 Only,"Mitchell Martin, Inc.","Technical Business Data Analyst - Banking - W2 Only  Location: Plano, TX  Duration: 12-24 Months HYBRID ONLY in Dallas Metro area, TX W2 only Opening - Client only accepts W-2 Candidates The successful candidate will define the end-to-end requirements to support the target business process within Treasury. The candidate will contribute to the software development lifecycle of products and services from inception stage through to the final implementation. The candidate would be required to work c","Dallas, TX, USA",Contract,Data Scientist,60+ days ,2024-03-05 03:09:46.525851,4 days ago ,,https://www.dice.com/company/mitchmar2?companyname=Mitchell%20Martin%2C%20Inc.,135
Google Cloud Platform Data Architect,DVG Tech Solutions LLC,"Job Description: The Role We seek an experienced Google Cloud Platform Data Architect to shape and lead our data architecture and analytics initiatives on the Google Cloud Platform. You'll work closely with cross-functional teams to design scalable data solutions, optimize data pipelines, and enable data-driven decision-making across the organization. Key Responsibilities:  Architecture Design: Craft scalable and reliable data architectures on Google Cloud Platform, encompassing data ingestion,","Dallas, TX, USA","Third Party, Contract",Data Scientist,10 days ,2024-04-24 03:09:46.525851,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,135
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","Dallas, TX, USA",Contract,Data Scientist,17 hours ,2024-05-03 10:09:46.526865,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,135
Lead Data Engineer with Palantir Foundry,Info Dinamica Inc,"Lead Data Engineer with Palantir Foundry - Remote NOTE - The consultant Needs to work In Europe Time Zone Total experience of 7+ years in Data Engineering and must have at least 3 years of experience in Palantir Foundry. Strong experience with Palantir Data Engineering features such as, Code Repo, Code Workbook, Pipeline Build, migration techniques, Data Connection and Security setup.Design, develop Data Pipelines, and have excellent skills in PySpark and Spark SQL, hands on with code Build and","Dallas, TX, USA","Contract, Third Party",Data Scientist,29 days ,2024-04-05 03:09:46.527866,17 days ago ,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,135
Residential Solutions Architect,Computomic,"Role: Resident Solution Architect (RSA) Experience: 10+ years years consulting, 7+ years in data engineering Location: London /Remote. United Kingdom Background: Computomic was founded in 2019 with a vision to design and deploy mission critical and highly differentiated Data & AI solutions for companies looking to migrate their data stack from legacy data platforms such as Teradata, Cloudera, Datastage and Informatica to modern data platforms like Databricks. Over the last few years, we have bec","Dallas, TX, USA",Contract,Data Scientist,38 days ,2024-03-27 03:09:46.527866,23 days ago ,,https://www.dice.com/company/91129876?companyname=Computomic,135
