Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Investment Consultant,Acunor Infotech,Acunor is seeking a Finance Investment Consultant for one of its premier clients to work in a hybrid capacity in New Jersey. This is a full-time opportunity. Interested candidates are encouraged to apply with their most recent resume to Position: Finance Investment Consultant Location: Jersey City (Hybrid) Full Time position Role Overview: The person would be working with Investment team for a major Insurance client. The candidate should have hands-on experience in Actuarial /Financial modeling,"New Jersey, USA",Full-time,Business Analytics,17 days ,2024-04-17 03:04:18.445697,1 day ago ,,https://www.dice.com/company/91026517?companyname=Acunor%20Infotech,30
Client Partner - Life Science clients,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New Jersey, USA","Full-time, Third Party",Business Analytics,8 days ,2024-04-26 03:04:18.445697,,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,30
Client Manager - Insurance clients,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New Jersey, USA","Full-time, Third Party",Business Analytics,44 days ,2024-03-21 03:04:18.446703,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,30
SAP CLM Finance account lead,Tek Inspirations LLC,"Job Description - SAP CLM Finance /account lead Hybrid:  East Hanover, NJ Need Nearby candidate in NJ/PA/NY Most important is: - Finance/accounting background- SAP CLM Lease Accounting experience Qualifications:  Bachelor of Science and/or Business degree in Accounting or Finance, M.B.A. preferred. Minimum 10 years  working experience with 6 or more years of accounting experience is required. Very strong SAP FICO, S4 Hana with CLM (Lease accounting system) is required. Strong project management","New Jersey, USA","Contract, Third Party",Business Analytics,20 hours ,2024-05-03 07:04:18.447703,20 hours ago ,,https://www.dice.com/company/91099133?companyname=Tek%20Inspirations%20LLC,30
Technical Architect,SANS,"Job Title - Technical Architect Location - Jersey City, NJ (Hybrid) Duration - 12+ Months  Job Description: Responsible for the delivery of high quality architectural solutions, while ensuring compliance with company policies. Strategize and contributes to enterprise level technological initiatives on architectures, patterns and standards. In addition to the individual contributor, primary responsibility shown below, may also have managerial responsivities, such as: recruits, directs, motivates","New Jersey, USA","Contract, Third Party",Business Analytics,19 hours ,2024-05-03 08:04:18.447703,,,https://www.dice.com/company/10102433?companyname=SANS,30
Data Scientist,Procal Technologies,"Job Title: Data Scientist No. of Positions: 2 Location: Bedminster NJ Experience: 7 to 10 years Working Model: Hybrid Job Overview As a Data Scientist at Procal, you will be responsible for analyzing large, complex datasets and identifying meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models and support various aspects of the business with data analytics. Also, you will be involved in the latest AI & Data driven research in","New Jersey, USA",Full-time,Business Analytics,3 days ,2024-05-01 03:04:18.448703,,,https://www.dice.com/company/90773816?companyname=Procal%20Technologies,30
Azure Data Solutions Architect,SANS,"Job Title - Azure Data Solutions Architect Location - Edison, NJ Position: Fulltime (W2); Single Person C2C may be considered  Job Summary: We are seeking an experienced Azure Data Solutions Architect with P&C Industry experience. If you are  data freak  and looking for a professionally challenging and financially rewarding career this position might be of interest to you. This position will play a pivotal role in the growth dynamics of XDuce. Azure Data Solutions Architect will spearhead new Da","New Jersey, USA",Full-time,Business Analytics,17 days ,2024-04-17 03:04:18.449678,1 day ago ,,https://www.dice.com/company/10102433?companyname=SANS,30
Data Engineer,Applet Systems,"Data EngineerNew Jersey (Hybrid)Long termW2 ONLY  Databricks,Pyspark, Python, SQL, AWS Objective : Deliver Feature store tables by combining Multiple source systems into one table design for Advance analytics queries and ML use cases. Requirement AnalysisTranslating into SQLDesign of ETL PipelineBuildDeployment, runbooks and support","New Jersey, USA",Contract,Business Analytics,2 days ,2024-05-02 03:04:18.450683,,,https://www.dice.com/company/10457851?companyname=Applet%20Systems,30
Infor M3 Solution Architect,Marlabs LLC,"Role: Infor M3 Solution Architect Client: Marlabs LLC Location: Piscataway, NJ 8 10 years of Infor M3 ERP experience Well versed with all business processes and industry standards Should have done minimum 2 End-to-End Infor M3 Implementation for customer At least one M3 Implementation over cloud suite (Multi-tenant) Must have integrated view within Infor M3 modules Well acquainted with Infor Deployment Methodology Should possess strong communication & presentation skills Ability and provide busi","New Jersey, USA","Contract, Third Party",Business Analytics,8 days ,2024-04-26 03:04:18.450683,,,https://www.dice.com/company/marlabnj?companyname=Marlabs%20LLC,30
"Technical Business Analyst - Jersey City,NJ ( Only Locals & 10 + Exp Need)",Radiantze,"Job Title: Technical Business Analyst  Location: Jersey City,NJ - Hybrid Job Description Main duties and responsibilities Documenting model/metadata requirements, definitions and authoritative sources ensuring stakeholders are aware of their responsibilities in managing data aligned to group mandated Metadata StandardUndertaking business analysis to assess needs, capture requirements and define solutions that will maximize the value delivered to stakeholders across a portfolio of strategic data","New Jersey, USA","Contract, Third Party",Business Analytics,9 days ,2024-04-25 03:04:18.451681,,,https://www.dice.com/company/91140385?companyname=Radiantze,30
