Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Sr. Business Analyst with Operational Risk,"IRIS Software, Inc.","Our Client which is a large Investment Bank is urgently looking to hire a Sr. Business Analyst with Operational Risk experience. Sr. Business Analyst with Operational Risk Multiple Locations - Rutherford, NJ - Irving TX - Tampa, FL Skills - Strong Business Analysis. Good experience with Operational Risk. Good knowledge of Databases. Intermediate Strong SQL Queries. Agile - Required.","New York, NY, USA",Full-time,Business Analyst Internship,3 days ,2024-05-01 03:22:46.552867,,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,31
"Technical Business Analyst - Jersey City,NJ ( Only Locals & 10 + Exp Need)",Radiantze,"Job Title: Technical Business Analyst  Location: Jersey City,NJ - Hybrid Job Description Main duties and responsibilities Documenting model/metadata requirements, definitions and authoritative sources ensuring stakeholders are aware of their responsibilities in managing data aligned to group mandated Metadata StandardUndertaking business analysis to assess needs, capture requirements and define solutions that will maximize the value delivered to stakeholders across a portfolio of strategic data","New York, NY, USA","Contract, Third Party",Business Analyst Internship,9 days ,2024-04-25 03:22:46.553577,,,https://www.dice.com/company/91140385?companyname=Radiantze,31
PM/BA with solid FX Trade,Softova Inc,"Role: PM/BA with solid FX Trade support experience across all products Location: Hybrid two day in NYC or Jersey City Minimum EIGHT years in Investment Banks (capital markets, fixed income). Front Office Project Manager / Business Analyst to focus on building out our Front to Back Trade Support across all FX products Role Objectives Business Analysis for strategic projects and enhancements across vanilla and exotic FX Desks Facilitate daily/weekly Developer scrums, sprint planning sessions, spri","New York, NY, USA",Contract,Business Analyst Internship,9 days ,2024-04-25 03:22:46.554426,,,https://www.dice.com/company/10410484?companyname=Softova%20Inc,31
Business Analyst - Healthcare/ Pharmacy,"cyberThink, Inc.","Fulltime role. Onsite at Morristown, NJ Job title- Business Analyst - Healthcare/ Pharmacy Required Qualifications: At least 4 years previous experience working as a Functional or Technical Business Analyst with a minimum of 2 years of experience in pharmacy or healthcare.Must be knowledgeable about pharmacy operations.Strong organization and leadership skills with a track record of meeting aggressive deadlines without compromising the projects or tasks success.Strong documentation skills with a","New York, NY, USA",Full-time,Business Analyst Internship,60+ days ,2024-03-05 03:22:46.554426,18 days ago ,,https://www.dice.com/company/cybrthnk?companyname=cyberThink%2C%20Inc.,31
129813: - Lead Business Analyst,"Key Business Solutions, Inc.","129813: - Lead Business Analyst Remote 12 Months Need 3 Reference at the submission Job Description: This position will require a qualified Technical Business Analyst to take the lead in the following tasks: Ability to create and document detailed business requirements, perform analysis, outlining problems, opportunities and solutions for the stakeholders Author and update internal and external documentation, and formally initiate and deliver requirements and documentation A strong understanding","New York, NY, USA","Full-time, Third Party",Business Analyst Internship,4 days ,2024-04-30 03:22:46.554426,,,https://www.dice.com/company/RTL149247?companyname=Key%20Business%20Solutions%2C%20Inc.,31
Business Analyst Lead with Utilities/Estimation exp,Verism Systems,"MUST HAVE SKILLS: Utilities/Electric/Gas experienceWorking knowledge of estimating Working knowledge of estimating tools (i.e. EES)  Working knowledge of joint pole activities & technology Engineering and Estimating work  Looking for an experienced analyst to support the Service Planning & Design functional area. The candidate will work closely with the business on behalf of IT on multiple, complex technology projects supporting SP&D employees and contractor workforce, especially in the area of","New York, NY, USA","Third Party, Contract",Business Analyst Internship,14 days ,2024-04-20 03:22:46.554426,4 days ago ,,https://www.dice.com/company/10123692?companyname=Verism%20Systems,31
JD Edwards Business Analyst - EDI - 3days hybrid - 3 Manhattanville Rd Purchase NY,Cyber Sphere LLC,"JD Edwards Business Analyst This is 3 days Hybrid - 3 Manhattanville Rd Purchase NY Citizens/EAD Longterm Must Haves Supply Chain DistributionRPA Experience highly preferredOTM (Oracle Transportation Management) highly desiredEDI : 850, 856, 810, 940, 944  Regards,  Vinay Ram  (Direct) Suwanee, GA - 30024 An MBE & eVerify Company Connect with me for exciting career opportunities: Open Jobs (For Recruiters):","New York, NY, USA","Contract, Third Party",Business Analyst Internship,2 days ,2024-05-02 03:22:46.554426,,,https://www.dice.com/company/91081414?companyname=Cyber%20Sphere%20LLC,31
"C,C++ Developer",ProCorp Systems Inc.,"Job Title: C/C++ Developer Location : Jersey City ( Within 45 miles) Rate: $60/hr. JD In this role you can expect to have the responsibilities: Design and develop high-performance software solutions using C++ for market data systems.Collaborate with cross-functional teams to gather requirements and implement solutions.Perform code reviews, debugging, and troubleshooting to ensure software quality and stability.Optimize software performance and efficiency through continuous improvement initiative","New York, NY, USA","Contract, Third Party",Business Analyst Internship,3 days ,2024-05-01 03:22:46.554426,5 hours ago ,,https://www.dice.com/company/90941033?companyname=ProCorp%20Systems%20Inc.,31
"Role: SAP SD/VC Sr. Consultant - Chestnut Ridge, NY or Milpitas, CA Onsite",Radiantze,"Role: SAP SD/VC Sr. Consultant (Minimum 12+ Years) Start Date: April 1st, 2024 Duration: 6+ months contract Go-live: Feb 2025 Location: Chestnut Ridge, NY or Milpitas, CA Onsite Project: S4 Implementation Project Project is around 21 sites across the US and Europe and we re moving them from Baan and a few other small ERPs to the SAP S4 system using the Client's Global Template. Go-live: Feb 2025 Travel will be required at key times of project (testing, go live, kick-off etc).  It is not expected","New York, NY, USA","Third Party, Contract",Business Analyst Internship,10 days ,2024-04-24 03:22:46.554426,10 days ago ,,https://www.dice.com/company/91140385?companyname=Radiantze,31
Peoplesoft Business Analyst,"Manage My Dream, LLC","Position: Peoplesoft Business Analyst Location: Austin, Texas 78744 REMOTE NEED Local candidates to Texas II. CANDIDATE SKILLS AND QUALIFICATIONS Experience as a Business Analyst on PeopleSoft Financials and Supply Chain Management (FSCM) on implementation or upgrade projects Experience as a Business Analyst with PeopleSoft FSCM 9.2 General Ledger and Commitment Accounting. Experience as a Business Analyst in identifying requirements and creating formal functional documents for key business stak","New York, NY, USA","Contract, Third Party",Business Analyst Internship,8 days ,2024-04-26 03:22:46.554426,,,https://www.dice.com/company/90979421?companyname=Manage%20My%20Dream%2C%20LLC,31
