Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Investment Consultant,Acunor Infotech,Acunor is seeking a Finance Investment Consultant for one of its premier clients to work in a hybrid capacity in New Jersey. This is a full-time opportunity. Interested candidates are encouraged to apply with their most recent resume to Position: Finance Investment Consultant Location: Jersey City (Hybrid) Full Time position Role Overview: The person would be working with Investment team for a major Insurance client. The candidate should have hands-on experience in Actuarial /Financial modeling,"New York, NY, USA",Full-time,Business Analytics,17 days ,2024-04-17 03:02:33.351093,1 day ago ,,https://www.dice.com/company/91026517?companyname=Acunor%20Infotech,152
Client Partner - Life Science clients,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New York, NY, USA","Full-time, Third Party",Business Analytics,60+ days ,2024-03-05 03:02:33.352104,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,152
Client Partner - Life Science clients,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New York, NY, USA","Full-time, Third Party",Business Analytics,8 days ,2024-04-26 03:02:33.353104,,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,152
Client Manager - Insurance clients,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New York, NY, USA","Full-time, Third Party",Business Analytics,60+ days ,2024-03-05 03:02:33.353104,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,152
Director of Solutions - Insurance,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New York, NY, USA","Full-time, Third Party",Business Analytics,60+ days ,2024-03-05 03:02:33.354338,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,152
Client Manager - Insurance clients,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New York, NY, USA","Full-time, Third Party",Business Analytics,44 days ,2024-03-21 03:02:33.355094,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,152
SAP CLM Finance account lead,Tek Inspirations LLC,"Job Description - SAP CLM Finance /account lead Hybrid:  East Hanover, NJ Need Nearby candidate in NJ/PA/NY Most important is: - Finance/accounting background- SAP CLM Lease Accounting experience Qualifications:  Bachelor of Science and/or Business degree in Accounting or Finance, M.B.A. preferred. Minimum 10 years  working experience with 6 or more years of accounting experience is required. Very strong SAP FICO, S4 Hana with CLM (Lease accounting system) is required. Strong project management","New York, NY, USA","Contract, Third Party",Business Analytics,20 hours ,2024-05-03 07:02:33.356094,19 hours ago ,,https://www.dice.com/company/91099133?companyname=Tek%20Inspirations%20LLC,152
Sales Leader - Insurance,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New York, NY, USA","Full-time, Third Party",Business Analytics,60+ days ,2024-03-05 03:02:33.356094,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,152
BI Engineer :: Remote :: W2 Profiles Only,Aorton Inc,"Role : BI Analytics Engineer  Location: Remote Job Description: Six Month Expectations Contribute to the data pipeline process, creating new pipelines that further data availability on our BI platform Take ownership of portions of our data stack Proactively solve issues or errors within the data pipeline Take an active role in designing the future of our data pipeline or BI platforms Collaborate with the team on best practices and overall business strategy Take ownership of data office hours and","New York, NY, USA",Contract,Business Analytics,1 day ,2024-05-03 03:02:33.357094,,,https://www.dice.com/company/91140841?companyname=Aorton%20Inc,152
Remote Predictive Analytics Snowflake Integration consultant Part Time or Full time,CapB InfoteK LLC,"CapB is seeking a Predictive Analytics Snowflake Integration consultants for its ongoing project. the project is 100% remote and can be done on Full time or Part time basis. The consultant on this project will connect existing code to a new cloud-based warehouse.  Currently, existing analytic code is connected to legacy, on-prem warehouses.  Responsibilities will include but not be limited to:  Write associated SQL queries to support two-way communication for 2 statistical models written in R to","New York, NY, USA","Contract, Third Party",Business Analytics,39 days ,2024-03-26 03:02:33.358094,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,152
