Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","New York, NY, USA",Full-time,Data Analytics Internship,15 days ,2024-04-19 03:17:09.136152,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,38
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","New York, NY, USA",Contract,Data Analytics Internship,31 days ,2024-04-03 03:17:09.136152,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,38
Investment Consultant,Acunor Infotech,Acunor is seeking a Finance Investment Consultant for one of its premier clients to work in a hybrid capacity in New Jersey. This is a full-time opportunity. Interested candidates are encouraged to apply with their most recent resume to Position: Finance Investment Consultant Location: Jersey City (Hybrid) Full Time position Role Overview: The person would be working with Investment team for a major Insurance client. The candidate should have hands-on experience in Actuarial /Financial modeling,"New York, NY, USA",Full-time,Data Analytics Internship,17 days ,2024-04-17 03:17:09.137138,1 day ago ,,https://www.dice.com/company/91026517?companyname=Acunor%20Infotech,38
Remote Predictive Analytics Snowflake Integration consultant Part Time or Full time,CapB InfoteK LLC,"CapB is seeking a Predictive Analytics Snowflake Integration consultants for its ongoing project. the project is 100% remote and can be done on Full time or Part time basis. The consultant on this project will connect existing code to a new cloud-based warehouse.  Currently, existing analytic code is connected to legacy, on-prem warehouses.  Responsibilities will include but not be limited to:  Write associated SQL queries to support two-way communication for 2 statistical models written in R to","New York, NY, USA","Contract, Third Party",Data Analytics Internship,39 days ,2024-03-26 03:17:09.138152,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,38
BI Engineer :: Remote :: W2 Profiles Only,Aorton Inc,"Role : BI Analytics Engineer  Location: Remote Job Description: Six Month Expectations Contribute to the data pipeline process, creating new pipelines that further data availability on our BI platform Take ownership of portions of our data stack Proactively solve issues or errors within the data pipeline Take an active role in designing the future of our data pipeline or BI platforms Collaborate with the team on best practices and overall business strategy Take ownership of data office hours and","New York, NY, USA",Contract,Data Analytics Internship,1 day ,2024-05-03 03:17:09.139153,,,https://www.dice.com/company/91140841?companyname=Aorton%20Inc,38
Azure Data Solutions Architect,SANS,"Job Title - Azure Data Solutions Architect Location - Edison, NJ Position: Fulltime (W2); Single Person C2C may be considered  Job Summary: We are seeking an experienced Azure Data Solutions Architect with P&C Industry experience. If you are  data freak  and looking for a professionally challenging and financially rewarding career this position might be of interest to you. This position will play a pivotal role in the growth dynamics of XDuce. Azure Data Solutions Architect will spearhead new Da","New York, NY, USA",Full-time,Data Analytics Internship,17 days ,2024-04-17 03:17:09.139153,1 day ago ,,https://www.dice.com/company/10102433?companyname=SANS,38
Test Do Not Apply - Senior Full Stack Developer,Dice US Sales Demo Account,"Job Type: Full-time Location: Greenwood Village, Colorado We are seeking an experienced Senior Full Stack Developer to join our dynamic team. The successful candidate will be responsible for developing, maintaining, and enhancing web applications that meet the needs of our clients. As a Senior Full Stack Developer, you will work closely with our cross-functional teams to ensure that our products are delivered on time, within budget, and to the highest quality standards. Responsibilities: Develop","New York, NY, USA",Full-time,Data Analytics Internship,18 days ,2024-04-16 03:17:09.140139,4 days ago ,,https://www.dice.com/company/dicedemo?companyname=Dice%20US%20Sales%20Demo%20Account,38
Google Cloud Platform Data Architect,DVG Tech Solutions LLC,"Job Description: The Role We seek an experienced Google Cloud Platform Data Architect to shape and lead our data architecture and analytics initiatives on the Google Cloud Platform. You'll work closely with cross-functional teams to design scalable data solutions, optimize data pipelines, and enable data-driven decision-making across the organization. Key Responsibilities:  Architecture Design: Craft scalable and reliable data architectures on Google Cloud Platform, encompassing data ingestion,","New York, NY, USA","Third Party, Contract",Data Analytics Internship,10 days ,2024-04-24 03:17:09.141138,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,38
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","New York, NY, USA",Contract,Data Analytics Internship,17 hours ,2024-05-03 10:17:09.141138,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,38
ITSM CMDB / Data Analysis expertise- 100% Remote role - Canada/LATAM Based,Acnovate Business Solutions Inc.,"ITSM CMDB / Data Analysis expertise 100% Remote (Near Shore - Canada/Latin America) Long term Contract Job Description: Configuration Management Database (CMDB) Maintenance: The Asset and Configuration Manager is responsible for managing and maintaining the CMDB in ServiceNow. This involves ensuring accurate and up-to-date information about all configuration items (CIs) within the IT infrastructure, including hardware, software, and other assets. Configuration Identification: Working with differ","New York, NY, USA","Contract, Third Party",Data Analytics Internship,37 days ,2024-03-28 03:17:09.142138,20 hours ago ,,https://www.dice.com/company/10127360?companyname=Acnovate%20Business%20Solutions%20Inc.,38
