Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Azure Data Engineer with Talend,StratG Inc,"Stratg Inc is looking for Azure Data engineer for our Direct Client in New York/New Jersey, Please share suitable profiles. Title: Azure Data engineer with Talend Location: NY/NJ Duration:  Longterm JD: -Strong Experience in Azure Data Engineer. -Strong ETL experience  -Talend Experience -Good Knowledge in Basic Java Interested People please share resume on my email  or you can reach me at","New York, NY, USA","Third Party, Contract",Data Engineer,17 days ,2024-04-17 02:56:20.893623,,,https://www.dice.com/company/91138575?companyname=StratG%20Inc,141
Data Engineer,Applet Systems,"Data EngineerNew Jersey (Hybrid)Long termW2 ONLY  Databricks,Pyspark, Python, SQL, AWS Objective : Deliver Feature store tables by combining Multiple source systems into one table design for Advance analytics queries and ML use cases. Requirement AnalysisTranslating into SQLDesign of ETL PipelineBuildDeployment, runbooks and support","New York, NY, USA",Contract,Data Engineer,2 days ,2024-05-02 02:56:20.893623,,,https://www.dice.com/company/10457851?companyname=Applet%20Systems,141
Senior Azure Data Engineer,DVG Tech Solutions LLC,"Job Description: Azure AD - 5 years of experience OpenID Connect - 5 years  experience. OAuth - 5 years experience Mandatory Skills: Hands-On Experience working with Azure AD, in large enterprise organizations, to protect applications and data in cloud and hybrid environments.Familiar with Modern Authentication protocols OAuth 2.0, OIDC, SAML, FIDO, and industry-standard Auth flows (e.g. PKCE, Authorization Code, Client Credentials, etc.)Experience with implementing Conditional Access, Multi-Fac","New York, NY, USA","Contract, Third Party",Data Engineer,2 days ,2024-05-02 02:56:20.894996,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,141
Neo4j Data Engineer,Incedo Inc,"Position: Neo4j Data Engineer Location: Pittsburgh, PA (Remote) Duration: Full time Qualifications Minimum 3+ years of working experience with knowledge graphs/graph databasesExpertise with Graph database technology especially Neo4JExpertise with Python, and related software engineering platforms/frameworksExperience in designing and building highly scalable Knowledge Graphs in productionExperience developing APIs leveraging knowledge graph dataExperience with querying knowledge graphs using a g","New York, NY, USA",Full-time,Data Engineer,3 days ,2024-05-01 02:56:20.894996,,,https://www.dice.com/company/10476889?companyname=Incedo%20Inc,141
Lead Data Engineer with Palantir Foundry,Info Dinamica Inc,"Lead Data Engineer with Palantir Foundry - Remote NOTE - The consultant Needs to work In Europe Time Zone Total experience of 7+ years in Data Engineering and must have at least 3 years of experience in Palantir Foundry. Strong experience with Palantir Data Engineering features such as, Code Repo, Code Workbook, Pipeline Build, migration techniques, Data Connection and Security setup.Design, develop Data Pipelines, and have excellent skills in PySpark and Spark SQL, hands on with code Build and","New York, NY, USA","Contract, Third Party",Data Engineer,29 days ,2024-04-05 02:56:20.894996,17 days ago ,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,141
AWS Data Engineer -Remote,Cyma Systems Inc,"Title:  AWS EngineerLocation:  Remote Duration: 6+months . We re Looking for: Minimum 7 years of progressively responsible work experience in Data Engineering , architecture, design and development. Minimum 5 years of experience with ETL/ELT design and development using tools like IICS, AWS Glue, Talend, Databricks, Oracle Data Integrator (ODI) or equivalent.  Minimum 5 years of experience in database architecture using relational SQL (e.g. Snowflake, Oracle, PostgreSQL, MySQL), and NoSQL (Dynam","New York, NY, USA",Contract,Data Engineer,23 days ,2024-04-11 02:56:20.894996,13 hours ago ,,https://www.dice.com/company/RTL327349?companyname=Cyma%20Systems%20Inc,141
Google Cloud Platform Data Engineer,"Amzur Technologies, Inc.",Develop and operate data management tools  monitoring data flows  data quality  data cleansing and data processingCreate and document logical data integration strategies for data flows between disparate systems and the enterprise data warehouse data lakesCollaborate with different stakeholders  engineers  data stewards  to collect required data from internal and external systemsWork in an Agile environment that focuses on collaboration and teamworkImprove and extend existing data infrastructure,"New York, NY, USA",Contract,Data Engineer,50 days ,2024-03-15 02:56:20.894996,15 hours ago ,,https://www.dice.com/company/10115656?companyname=Amzur%20Technologies%2C%20Inc.,141
Data Engineer,"Amzur Technologies, Inc.","Description: To research, evaluate, design, implement, and maintain system and product solutions, applying knowledge of engineering principles. To provide technical direction and engineering support for projects and infrastructure. Develop and maintain expert functional knowledge of evolving IT engineering industry technologies/competition, concepts and trends. Data deliverables  Data integration framework (Data Lake, Data Warehouse),Data quality control & monitoringPerformance optimizationData","New York, NY, USA",Contract,Data Engineer,60+ days ,2024-03-05 02:56:20.894996,15 hours ago ,,https://www.dice.com/company/10115656?companyname=Amzur%20Technologies%2C%20Inc.,141
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","New York, NY, USA",Contract,Data Engineer,31 days ,2024-04-03 02:56:20.894996,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,141
AWS Data Engineer with Databricks_REMOTE,Astir IT Solutions,"Tech skills  Databricks, Python. Strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata management, dependency, and workload management. Hands-on experience in Python is a must. Experience working with structured and unstructured data. Extensive knowledge of ETL and Data Warehousing concepts, strategies, methodologies Experience in data ingestion, preparation, integration, and operationalization techniques i","New York, NY, USA",Contract,Data Engineer,60+ days ,2024-03-05 02:56:20.894996,12 hours ago ,,https://www.dice.com/company/10110032?companyname=Astir%20IT%20Solutions,141
