Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","San Francisco, CA, USA",Full-time,Data Internship Internship,15 days ,2024-04-19 03:28:11.197123,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,16
IBM Datacap Developer,P2PSoftTek Inc,"IBM Datacap Developer Remote Role Description : Collaborate with stakeholders to gather and analyze business requirements for document capture and data extraction processes.Design and architect IBM Datacap, AWS Textract solutions to meet business needs, including document classification, data extraction, and workflow automation.Develop and customize IBM Datacap, AWS Textract applications flows, modules, and components using Datacap Studio, Datacap Navigator, and other tools.Configure and optimiz","San Francisco, CA, USA","Contract, Third Party",Data Internship Internship,24 days ,2024-04-10 03:28:11.197123,20 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,16
Enterprise Data Speclialist,Genome International Corp,"looking for a contractor to provide Data Governance services in support of the Statewide Longitudinal Data Systems (SLDS) federal grant efforts. CDE received the grant award in 2020, and it will continue through February 2025. The early years of the grant focused on two use case areas, Adult Education (AE) and Concurrent Enrollment (CE). There is a significant technology component to this grant effort, CDE already has data-linking technology in place and part of the grant commitment is to modern","San Francisco, CA, USA",Contract,Data Internship Internship,44 days ,2024-03-21 03:28:11.197123,1 day ago ,,https://www.dice.com/company/genwi001?companyname=Genome%20International%20Corp,16
Test Do Not Apply - Senior Full Stack Developer,Dice US Sales Demo Account,"Job Type: Full-time Location: Greenwood Village, Colorado We are seeking an experienced Senior Full Stack Developer to join our dynamic team. The successful candidate will be responsible for developing, maintaining, and enhancing web applications that meet the needs of our clients. As a Senior Full Stack Developer, you will work closely with our cross-functional teams to ensure that our products are delivered on time, within budget, and to the highest quality standards. Responsibilities: Develop","San Francisco, CA, USA",Full-time,Data Internship Internship,18 days ,2024-04-16 03:28:11.197123,4 days ago ,,https://www.dice.com/company/dicedemo?companyname=Dice%20US%20Sales%20Demo%20Account,16
Web Developer,AgreeYa Solutions,"We are seeking a highly experienced Web Developer with expertise in Magnolia CMS, strong JavaScript skills, and significant experience in working with Docket and Kubernetes. As a Senior Consultant, you will be responsible for providing expert guidance, implementing solutions, and supporting our clients in their digital transformation journey. The ideal candidate will have at least 8 years of industry experience, with a proven track record of delivering successful projects in web development and","San Francisco, CA, USA","Contract, Third Party",Data Internship Internship,17 days ,2024-04-17 03:28:11.197123,4 days ago ,,https://www.dice.com/company/swapps?companyname=AgreeYa%20Solutions,16
Lead Salesforce Developer,Incedo Inc,"Position: Salesforce Technical Lead  Location: Pittsburgh, PA (remote) Duration: Full time As a Salesforce Lead with expertise in Experience Cloud, Service Cloud, and Marketing Cloud, you will play a critical role in the design, development, and maintenance of our client s Salesforce ecosystem. Must have experience in working with globally distributed teams and agile delivery. You will collaborate with cross-functional teams to implement and optimize solutions that enhance customer experiences,","San Francisco, CA, USA",Full-time,Data Internship Internship,3 days ,2024-05-01 03:28:11.197123,,,https://www.dice.com/company/10476889?companyname=Incedo%20Inc,16
Sales Leader - Insurance,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","San Francisco, CA, USA","Full-time, Third Party",Data Internship Internship,60+ days ,2024-03-05 03:28:11.197123,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,16
Tricentis Tosca Neoload Architect,SumasEdge Corporation,"We are seeking a skilled and experienced Tricentis Tosca & NeoLoad Architect to join our dynamic team. The ideal candidate will have a strong background in software testing, particularly in test automation using Tricentis Tosca, as well as performance testing using NeoLoad. This role will involve designing, implementing, and optimizing test automation and performance testing solutions to ensure the quality and scalability of our software products.  Responsibilities:  Design and implement test au","San Francisco, CA, USA","Third Party, Contract",Data Internship Internship,23 days ,2024-04-11 03:28:11.213142,16 hours ago ,,https://www.dice.com/company/90859492?companyname=SumasEdge%20Corporation,16
"ServiceNow Architect field service module mandatory , Remote",Spiceorb,"Hi, This is Upasna from Spiceorb.we have opening for Servicenow Architect role.If you are available and interested send your updated resume to  ServiceNow Architect, remote role The ServiceNow Architect plays a critical role in the design, implementation, and optimization of ServiceNow solutions within the organization.This position requires a deep understanding of the ServiceNow platform, IT service management processes, and business requirements to architect solutions that drive efficiency, au","San Francisco, CA, USA","Contract, Third Party",Data Internship Internship,9 days ,2024-04-25 03:28:11.213790,7 days ago ,,https://www.dice.com/company/91109480?companyname=Spiceorb,16
Automation Architect,Qualibar,"Job Title: Automation Architect Position: Full Time Client: PWC Location: Remote//Remote/Hybrid  Description: Experience in creation of application specific test strategy and Automation test plan Expertise in creation / maintenance of Test Automation framework (Hybrid / TDD / BDD) from scratch Expertise in creation of API / UI Automated test scripts using Selenium with Java & RestAPI/SoapUI  Exposure and experience in Katalon, Parasoft and Azure ADO are added advantage Hands on experience in del","San Francisco, CA, USA",Full-time,Data Internship Internship,60+ days ,2024-03-05 03:28:11.213790,20 hours ago ,,https://www.dice.com/company/91132260?companyname=Qualibar,16
