Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Android Developer (Day 1 Onsite),StarTechs Inc.,"Job Description: Plan, develop, build, Android mobile App using Kotlin.Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.Experience with third-party libraries and APIs.Experience working with remote data via REST and JSON.Solid understanding of the full mobile development life cycle.Unit-testing of code to ensure bug-free, reliable, and best user experience.Handle complex UI screens and complicated data structures.Should be front face to discuss","San Jose, CA, USA",Contract,Data Scientist,1 day ,2024-05-03 03:09:22.641967,1 day ago ,,https://www.dice.com/company/91085654?companyname=StarTechs%20Inc.,114
Frontend Tech Lead/ Tech Lead Manager / Frontend Sr Software Engineer,Myriad Consulting Inc,"Frontend - Tech Lead  Responsibilities:  - Set up a new engineering team from scratch and support it on career development. - Build and manage a team of frontend or full stack engineers, including mentoring junior team members and providing technical support for engineers in the team. - Provide technical leadership and build high performing teams within your organization. - Regularly communicate with business teams and contribute to technical decisions on projects among the product. - In-depth u","San Jose, CA, USA",Full-time,Data Scientist,19 days ,2024-04-15 03:09:22.641967,5 days ago ,,https://www.dice.com/company/90940280?companyname=Myriad%20Consulting%20Inc,114
IO Sensor Validation Lead,Quest Global Services,"Roles & Responsibilities: Characterize and validate touch, proximity sensor, ambient light sensor, Inertial measurement unit for smart wearables. Optimize sensor performance based on validation result Documenting and presenting test results to engineering teams Working with cross-functional teams to assure that sufficient and accurate testing is implemented  Required Skills (Technical Competency): 5+ years of Electrical System Verification for consumer electronics Experience with the definition","San Jose, CA, USA",Full-time,Data Scientist,3 days ,2024-05-01 03:09:22.641967,,,https://www.dice.com/company/90709148?companyname=Quest%20Global%20Services,114
Google Cloud Platform Data Architect,DVG Tech Solutions LLC,"Job Description: The Role We seek an experienced Google Cloud Platform Data Architect to shape and lead our data architecture and analytics initiatives on the Google Cloud Platform. You'll work closely with cross-functional teams to design scalable data solutions, optimize data pipelines, and enable data-driven decision-making across the organization. Key Responsibilities:  Architecture Design: Craft scalable and reliable data architectures on Google Cloud Platform, encompassing data ingestion,","San Jose, CA, USA","Third Party, Contract",Data Scientist,10 days ,2024-04-24 03:09:22.641967,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,114
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","San Jose, CA, USA",Contract,Data Scientist,17 hours ,2024-05-03 10:09:22.641967,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,114
Lead Data Engineer with Palantir Foundry,Info Dinamica Inc,"Lead Data Engineer with Palantir Foundry - Remote NOTE - The consultant Needs to work In Europe Time Zone Total experience of 7+ years in Data Engineering and must have at least 3 years of experience in Palantir Foundry. Strong experience with Palantir Data Engineering features such as, Code Repo, Code Workbook, Pipeline Build, migration techniques, Data Connection and Security setup.Design, develop Data Pipelines, and have excellent skills in PySpark and Spark SQL, hands on with code Build and","San Jose, CA, USA","Contract, Third Party",Data Scientist,29 days ,2024-04-05 03:09:22.641967,17 days ago ,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,114
Residential Solutions Architect,Computomic,"Role: Resident Solution Architect (RSA) Experience: 10+ years years consulting, 7+ years in data engineering Location: London /Remote. United Kingdom Background: Computomic was founded in 2019 with a vision to design and deploy mission critical and highly differentiated Data & AI solutions for companies looking to migrate their data stack from legacy data platforms such as Teradata, Cloudera, Datastage and Informatica to modern data platforms like Databricks. Over the last few years, we have bec","San Jose, CA, USA",Contract,Data Scientist,38 days ,2024-03-27 03:09:22.641967,23 days ago ,,https://www.dice.com/company/91129876?companyname=Computomic,114
AWS Data Architect,WinWire Technologies,"Job title: AWS Data Architect Pharma exp Must Location: Alameda, CA Remote Duration: open for full time/ Contract to hire  Let s not just look at Pharma experience since there could be folks with Clinical domain experience which is not relevant. It needs to be Pharma Commercial on domain and AWS Data Engineering / Architecture (hands on). Someone who can set direction, define data patterns, establish customer domains and design with AWS tools.  * Rebates * Marketing * Market Access * Sales * Arc","San Jose, CA, USA","Full-time, Third Party",Data Scientist,57 days ,2024-03-08 03:09:22.657024,2 days ago ,,https://www.dice.com/company/RTL854830?companyname=WinWire%20Technologies,114
Azure Data Architect,Intraedge,"Job Title: : Azure Data Architect Location: REMOTE Duration: Long Term Contract  Responsibilities: Engineer Azure-based solutions with a focus on cost-efficiency, performance, and operational effectiveness. Craft and enforce a framework to quantify data quality across various customer and prospect sources, ensuring data accuracy, completeness, consistency, and timeliness. Scrutinize first-party customer data sources to establish the most reliable ones and formulate ingestion strategies for both","San Jose, CA, USA","Contract, Third Party",Data Scientist,3 days ,2024-05-01 03:09:22.657855,1 day ago ,,https://www.dice.com/company/10121492?companyname=Intraedge,114
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","San Jose, CA, USA",Full-time,Data Scientist,15 days ,2024-04-19 03:09:22.658384,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,114
ITSM CMDB / Data Analysis expertise- 100% Remote role - Canada/LATAM Based,Acnovate Business Solutions Inc.,"ITSM CMDB / Data Analysis expertise 100% Remote (Near Shore - Canada/Latin America) Long term Contract Job Description: Configuration Management Database (CMDB) Maintenance: The Asset and Configuration Manager is responsible for managing and maintaining the CMDB in ServiceNow. This involves ensuring accurate and up-to-date information about all configuration items (CIs) within the IT infrastructure, including hardware, software, and other assets. Configuration Identification: Working with differ","San Jose, CA, USA","Contract, Third Party",Data Scientist,37 days ,2024-03-28 03:09:22.658384,20 hours ago ,,https://www.dice.com/company/10127360?companyname=Acnovate%20Business%20Solutions%20Inc.,114
Collibra Data Quality Consultant (Collibra DQ),Xoriant Corporation,Looking for someone who is an expert on all functionalities provided by Collibra DQ.Preferred if they have worked with Collibra DQ in a healthcare setting.It would be even better if they have connected to Databricks as a data source from Collibra DQ.,"San Jose, CA, USA","Contract, Third Party",Data Scientist,3 days ,2024-05-01 03:09:22.660410,,,https://www.dice.com/company/xorca001?companyname=Xoriant%20Corporation,114
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","San Jose, CA, USA",Contract,Data Scientist,31 days ,2024-04-03 03:09:22.660410,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,114
ServiceNow Data + Integrations Architect,HL Solutions LLC,"Job Description:-  ServiceNow Data + Integrations Architect (Level 3) Primary Skill: Data + Integration Architect , CSA + at least 2 mainline certifications  ServiceNow Data Architect - 40% Govern demand for inbound/outbound data feed intake and delivery Collaboration point between platform, product, EA, and EDS teams to ensure data in ServiceNow is ""fit-for-purpose"" Ensure alignment of data model hierarchy to EA and EDS standards Govern quality and certification of data model Ensure implementat","San Jose, CA, USA","Contract, Third Party",Data Scientist,17 days ,2024-04-17 03:09:22.660410,,,https://www.dice.com/company/91089103?companyname=HL%20Solutions%20LLC,114
Oracle HCM Platform Support (Techno-Functional) - Remote,Cyber Sphere LLC,"Job title: Oracle HCM Platform Support  (Techno-Functional) Remote - EST Long term Prior Experience of HCM Release Management for Oracle HCM components (EXTRACT, ALERT, BIP, Reports), Well versed with Oracle CSM & FSM tool for automated Release Management Prior experience of Managing Oracle POD, instance strategy, P2T, T2T, Data Masking Certificate Management for Real time Integrations. Experience generate, import, export, and delete PGP and X.509 certificates for data encryption and decryption","San Jose, CA, USA","Third Party, Contract",Data Scientist,3 days ,2024-05-01 03:09:22.660410,,,https://www.dice.com/company/91081414?companyname=Cyber%20Sphere%20LLC,114
