Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Seattle, WA, USA",Full-time,Data Analytics Internship,15 days ,2024-04-19 03:17:31.182841,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,28
Remote Azure Data and DevOps engineer,CapB InfoteK LLC,"CapB is looking for an experienced Azure Data and Devops engineer. This is 100% Remote position. Job description below. If interested rush your resume to us and let us know your absolute best rate on 1099. No Corp to Corp PRIMARY DUTIES  1 Create and maintain optimal data pipeline architecture.  2 Assemble large, complex data sets that meet functional / non-functional business requirements.  3 Identify, design, and implement internal process improvements: automating manual processes, optimizing","Seattle, WA, USA",Contract,Data Analytics Internship,31 days ,2024-04-03 03:17:31.183845,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,28
Remote Predictive Analytics Snowflake Integration consultant Part Time or Full time,CapB InfoteK LLC,"CapB is seeking a Predictive Analytics Snowflake Integration consultants for its ongoing project. the project is 100% remote and can be done on Full time or Part time basis. The consultant on this project will connect existing code to a new cloud-based warehouse.  Currently, existing analytic code is connected to legacy, on-prem warehouses.  Responsibilities will include but not be limited to:  Write associated SQL queries to support two-way communication for 2 statistical models written in R to","Seattle, WA, USA","Contract, Third Party",Data Analytics Internship,39 days ,2024-03-26 03:17:31.183845,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,28
BI Engineer :: Remote :: W2 Profiles Only,Aorton Inc,"Role : BI Analytics Engineer  Location: Remote Job Description: Six Month Expectations Contribute to the data pipeline process, creating new pipelines that further data availability on our BI platform Take ownership of portions of our data stack Proactively solve issues or errors within the data pipeline Take an active role in designing the future of our data pipeline or BI platforms Collaborate with the team on best practices and overall business strategy Take ownership of data office hours and","Seattle, WA, USA",Contract,Data Analytics Internship,1 day ,2024-05-03 03:17:31.184841,,,https://www.dice.com/company/91140841?companyname=Aorton%20Inc,28
Azure Data Engineer,"iTech US, Inc.","Need Azure Data Engineer who has some experience working with the DevOps side. Need Local Candidates, Hybrid Role on Seattle, WA. Top Skills' Details ETL Development with Azure stack (Azure Data Factory, Azure Databricks, Azure Blob, Azure SQL). The core function of the role is data ingestion and export to various enterprise systems. Data Engineers are utilizing Snowflake as a data warehouse and Databricks for transformation. Must have demonstrated experience with Azure Data Factory (Snowflake i","Seattle, WA, USA",Contract,Data Analytics Internship,14 days ,2024-04-20 03:17:31.184841,14 days ago ,,https://www.dice.com/company/10115897?companyname=iTech%20US%2C%20Inc.,28
Google Cloud Platform Data Architect,DVG Tech Solutions LLC,"Job Description: The Role We seek an experienced Google Cloud Platform Data Architect to shape and lead our data architecture and analytics initiatives on the Google Cloud Platform. You'll work closely with cross-functional teams to design scalable data solutions, optimize data pipelines, and enable data-driven decision-making across the organization. Key Responsibilities:  Architecture Design: Craft scalable and reliable data architectures on Google Cloud Platform, encompassing data ingestion,","Seattle, WA, USA","Third Party, Contract",Data Analytics Internship,10 days ,2024-04-24 03:17:31.185846,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,28
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","Seattle, WA, USA",Contract,Data Analytics Internship,17 hours ,2024-05-03 10:17:31.186843,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,28
ITSM CMDB / Data Analysis expertise- 100% Remote role - Canada/LATAM Based,Acnovate Business Solutions Inc.,"ITSM CMDB / Data Analysis expertise 100% Remote (Near Shore - Canada/Latin America) Long term Contract Job Description: Configuration Management Database (CMDB) Maintenance: The Asset and Configuration Manager is responsible for managing and maintaining the CMDB in ServiceNow. This involves ensuring accurate and up-to-date information about all configuration items (CIs) within the IT infrastructure, including hardware, software, and other assets. Configuration Identification: Working with differ","Seattle, WA, USA","Contract, Third Party",Data Analytics Internship,37 days ,2024-03-28 03:17:31.187852,20 hours ago ,,https://www.dice.com/company/10127360?companyname=Acnovate%20Business%20Solutions%20Inc.,28
Power BI Developer,Symphony Corporation,"Responsibilities: Quickly assimilate and extract relevant supply chain data from our extensive data lake.Develop, design, and maintain advanced Power BI reports and dashboards specific to supply chain metrics.Utilize complex data sources in a Supply Chain context, including but not limited to inventory levels, logistics performance, and vendor management.Transform raw data into meaningful insights through engaging visuals and interactive reports.Work closely with Supply Chain stakeholders to ide","Seattle, WA, USA",Contract,Data Analytics Internship,14 days ,2024-04-20 03:17:31.188852,,,https://www.dice.com/company/10115170?companyname=Symphony%20Corporation,28
Residential Solutions Architect,Computomic,"Role: Resident Solution Architect (RSA) Experience: 10+ years years consulting, 7+ years in data engineering Location: London /Remote. United Kingdom Background: Computomic was founded in 2019 with a vision to design and deploy mission critical and highly differentiated Data & AI solutions for companies looking to migrate their data stack from legacy data platforms such as Teradata, Cloudera, Datastage and Informatica to modern data platforms like Databricks. Over the last few years, we have bec","Seattle, WA, USA",Contract,Data Analytics Internship,38 days ,2024-03-27 03:17:31.188852,23 days ago ,,https://www.dice.com/company/91129876?companyname=Computomic,28
