Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Product owner/Business analyst,Talentmovers Inc,Role / Title  PO ( Must have ecommerce / retail domain exp) Rate on C2C/Full time Location Issaquah WA ( onsite 3 days) REQUIRED 10 12 Yrs. relevant PO/BA experiencePrevious experience with Retail / ecommerce domain8+ years current experience working on a Scrum and/or Agile teamGood knowledge on Jira and similar toolsKnowledge of Services Oriented or Microservice development platform8+ years  experience with creating documentation for communication with varied audiences.5+ years  experience work,"Seattle, WA, USA","Full-time, Third Party",Data Scientist,4 days ,2024-04-30 03:08:40.895105,2 days ago ,,https://www.dice.com/company/91129072?companyname=Talentmovers%20Inc,109
Azure Data Engineer,"iTech US, Inc.","Need Azure Data Engineer who has some experience working with the DevOps side. Need Local Candidates, Hybrid Role on Seattle, WA. Top Skills' Details ETL Development with Azure stack (Azure Data Factory, Azure Databricks, Azure Blob, Azure SQL). The core function of the role is data ingestion and export to various enterprise systems. Data Engineers are utilizing Snowflake as a data warehouse and Databricks for transformation. Must have demonstrated experience with Azure Data Factory (Snowflake i","Seattle, WA, USA",Contract,Data Scientist,14 days ,2024-04-20 03:08:40.896107,14 days ago ,,https://www.dice.com/company/10115897?companyname=iTech%20US%2C%20Inc.,109
Java Developer with AWS,Vy Systems,"1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.Good hands on experience with AWS2+ years of experience in dev/ops, familiar with pipeline tools such as Code Commit, Git, Jenkins, Code Pipeline, etc.Bachelor's in Computer Science or related fieldExperience with large-scale systems distributed systemsProven ability to design, develop, and deploy software in production as an individual contributo","Seattle, WA, USA","Contract, Third Party",Data Scientist,3 days ,2024-05-01 03:08:40.897113,,,https://www.dice.com/company/10114746?companyname=Vy%20Systems,109
Google Cloud Platform Data Architect,DVG Tech Solutions LLC,"Job Description: The Role We seek an experienced Google Cloud Platform Data Architect to shape and lead our data architecture and analytics initiatives on the Google Cloud Platform. You'll work closely with cross-functional teams to design scalable data solutions, optimize data pipelines, and enable data-driven decision-making across the organization. Key Responsibilities:  Architecture Design: Craft scalable and reliable data architectures on Google Cloud Platform, encompassing data ingestion,","Seattle, WA, USA","Third Party, Contract",Data Scientist,10 days ,2024-04-24 03:08:40.898113,19 hours ago ,,https://www.dice.com/company/90922892?companyname=DVG%20Tech%20Solutions%20LLC,109
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","Seattle, WA, USA",Contract,Data Scientist,17 hours ,2024-05-03 10:08:40.898113,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,109
Lead Data Engineer with Palantir Foundry,Info Dinamica Inc,"Lead Data Engineer with Palantir Foundry - Remote NOTE - The consultant Needs to work In Europe Time Zone Total experience of 7+ years in Data Engineering and must have at least 3 years of experience in Palantir Foundry. Strong experience with Palantir Data Engineering features such as, Code Repo, Code Workbook, Pipeline Build, migration techniques, Data Connection and Security setup.Design, develop Data Pipelines, and have excellent skills in PySpark and Spark SQL, hands on with code Build and","Seattle, WA, USA","Contract, Third Party",Data Scientist,29 days ,2024-04-05 03:08:40.899113,17 days ago ,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,109
Residential Solutions Architect,Computomic,"Role: Resident Solution Architect (RSA) Experience: 10+ years years consulting, 7+ years in data engineering Location: London /Remote. United Kingdom Background: Computomic was founded in 2019 with a vision to design and deploy mission critical and highly differentiated Data & AI solutions for companies looking to migrate their data stack from legacy data platforms such as Teradata, Cloudera, Datastage and Informatica to modern data platforms like Databricks. Over the last few years, we have bec","Seattle, WA, USA",Contract,Data Scientist,38 days ,2024-03-27 03:08:40.899113,23 days ago ,,https://www.dice.com/company/91129876?companyname=Computomic,109
AWS Data Architect,WinWire Technologies,"Job title: AWS Data Architect Pharma exp Must Location: Alameda, CA Remote Duration: open for full time/ Contract to hire  Let s not just look at Pharma experience since there could be folks with Clinical domain experience which is not relevant. It needs to be Pharma Commercial on domain and AWS Data Engineering / Architecture (hands on). Someone who can set direction, define data patterns, establish customer domains and design with AWS tools.  * Rebates * Marketing * Market Access * Sales * Arc","Seattle, WA, USA","Full-time, Third Party",Data Scientist,57 days ,2024-03-08 03:08:40.900112,2 days ago ,,https://www.dice.com/company/RTL854830?companyname=WinWire%20Technologies,109
Azure Data Architect,Intraedge,"Job Title: : Azure Data Architect Location: REMOTE Duration: Long Term Contract  Responsibilities: Engineer Azure-based solutions with a focus on cost-efficiency, performance, and operational effectiveness. Craft and enforce a framework to quantify data quality across various customer and prospect sources, ensuring data accuracy, completeness, consistency, and timeliness. Scrutinize first-party customer data sources to establish the most reliable ones and formulate ingestion strategies for both","Seattle, WA, USA","Contract, Third Party",Data Scientist,3 days ,2024-05-01 03:08:40.901118,1 day ago ,,https://www.dice.com/company/10121492?companyname=Intraedge,109
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","Seattle, WA, USA",Full-time,Data Scientist,15 days ,2024-04-19 03:08:40.901118,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,109
